statefips,year,A1,A2,A3,rmw,fed_only
1,2017,0.0,0.0,0.0,7.09869521923186,False
1,2018,0.0,0.0,0.0,6.929680349157739,False
1,2019,0.0,0.0,0.0,6.80626515932592,False
1,2020,0.0,0.0,0.0,6.722042183082018,False
1,2021,0.0,0.0,0.0,6.421439018772137,False
1,2022,0.0,0.0,0.0,5.946282262053694,False
2,2017,0.0,0.0,1.0,9.595477675651344,False
2,2018,0.0,0.0,1.0,9.40524891527064,False
2,2019,0.0,0.0,1.0,9.284684472514945,False
2,2020,0.0,0.0,1.0,9.447946185600795,False
2,2021,0.0,0.0,1.0,9.158300614359158,False
2,2022,0.0,0.0,1.0,8.480628770984165,False
4,2017,1.0,1.0,1.0,9.791303750664635,False
4,2018,0.0,0.0,1.0,10.036088781538794,False
4,2019,1.0,1.0,1.0,10.326747138287603,False
4,2020,1.0,1.0,1.0,11.126138785790927,False
4,2021,0.0,0.0,1.0,10.761446079735375,False
4,2022,0.0,0.0,1.0,10.498263855763764,False
5,2017,1.0,1.0,1.0,8.32260818806494,False
5,2018,0.0,0.0,1.0,8.124452823150452,False
5,2019,1.0,1.0,1.0,8.683855548105484,False
5,2020,1.0,1.0,1.0,9.27178232149244,False
5,2021,1.0,1.0,1.0,9.742872993999105,False
5,2022,0.0,0.0,1.0,9.021945501046984,False
6,2017,1.0,1.0,1.0,10.280868938197868,False
6,2018,0.0,0.0,1.0,10.513997771135879,False
6,2019,1.0,1.0,1.0,11.265542332677386,False
6,2020,1.0,1.0,1.0,12.053317017940172,False
6,2021,1.0,1.0,1.0,12.400020174180678,False
6,2022,0.0,0.0,1.0,12.30265295597316,False
8,2017,1.0,1.0,1.0,9.105912488118111,False
8,2018,1.0,1.0,1.0,9.749343387780542,False
8,2019,1.0,1.0,1.0,10.420626657726581,False
8,2020,1.0,1.0,1.0,11.126138785790927,False
8,2021,0.0,0.0,1.0,10.912017753278997,False
8,2022,0.0,0.0,1.0,10.301421408468194,False
9,2017,1.0,1.0,1.0,9.88921678817128,False
9,2018,0.0,0.0,1.0,9.653761589861125,False
9,2019,0.0,0.0,1.0,9.4818314633368,False
9,2020,1.0,1.0,1.0,10.198960553641683,False
9,2021,1.0,1.0,1.0,10.628588720726295,False
9,2022,0.0,0.0,1.0,10.662299228510072,False
10,2017,0.0,0.0,1.0,8.077825594298323,False
10,2018,0.0,0.0,1.0,7.885498328351909,False
10,2019,1.0,1.0,1.0,8.214457950910594,False
10,2020,1.0,1.0,1.0,8.576398647380506,False
10,2021,0.0,0.0,1.0,8.19287047222652,False
10,2022,1.0,1.0,1.0,8.611857069181212,False
11,2017,1.0,1.0,1.0,11.25999931326433,False
11,2018,1.0,1.0,1.0,11.947724739927136,False
11,2019,1.0,1.0,1.0,12.439036325664613,False
11,2020,1.0,1.0,1.0,12.980495250089415,False
11,2021,1.0,1.0,1.0,13.28573590090787,False
11,2022,0.0,0.0,1.0,12.466688328719469,False
12,2017,0.0,0.0,1.0,7.930956038038354,False
12,2018,0.0,0.0,1.0,7.885498328351909,False
12,2019,0.0,0.0,1.0,7.942207344537557,False
12,2020,0.0,0.0,1.0,7.936645667197529,False
12,2021,0.0,0.0,1.0,7.5817266207847585,False
