quarterdate,year,cpi
76,1979,31.11162757873535
77,1979,32.03807830810547
78,1979,32.91725540161133
79,1979,33.645179748535156
80,1980,34.7039794921875
81,1980,35.649330139160156
82,1980,36.509605407714844
83,1980,37.30370330810547
84,1981,38.305782318115234
85,1981,39.10932922363281
86,1981,39.91288375854492
87,1981,40.52736282348633
88,1982,41.00949478149414
89,1982,41.472721099853516
90,1982,42.23845672607422
91,1982,42.67332077026367
92,1983,42.87184524536133
93,1983,43.42014694213867
94,1983,43.93064498901367
95,1983,44.2993278503418
96,1984,44.76255416870117
97,1984,45.244686126708984
98,1984,45.707908630371094
99,1984,46.019874572753906
100,1985,46.31293487548828
101,1985,46.85178756713867
102,1985,47.201568603515625
103,1985,47.59861755371094
104,1986,47.702606201171875
105,1986,47.5608024597168
106,1986,47.90113067626953
107,1986,48.15637969970703
108,1987,48.657413482666016
109,1987,49.25299072265625
110,1987,49.77293395996094
111,1987,50.141624450683594
112,1988,50.39686965942383
113,1988,50.98298645019531
114,1988,51.61637496948242
115,1988,52.07014846801758
116,1989,52.552276611328125
117,1989,53.38418960571289
118,1989,53.7812385559082
119,1989,54.216102600097656
120,1990,55.0858268737793
121,1990,55.59632110595703
122,1990,56.51331329345703
123,1990,57.35468292236328
124,1991,57.68555450439453
125,1991,57.950252532958984
126,1991,58.32839584350586
127,1991,58.67818069458008
128,1992,59.03741455078125
129,1992,59.46282196044922
130,1992,59.82205581665039
131,1992,60.200199127197266
132,1993,60.57834243774414
133,1993,61.04156494140625
134,1993,61.25899887084961
135,1993,61.58041763305664
136,1994,61.835662841796875
137,1994,62.20435333251953
138,1994,62.65812301635742
139,1994,62.875553131103516
140,1995,63.300960540771484
141,1995,63.83981704711914
142,1995,64.1045150756836
143,1995,64.35030364990234
144,1996,64.87970733642578
145,1996,65.51309204101562
146,1996,65.82505798339844
147,1996,66.24102020263672
148,1997,66.65697479248047
149,1997,66.90276336669922
150,1997,67.15801239013672
151,1997,67.41325378417969
152,1998,67.54560852050781
153,1998,67.87648010253906
154,1998,68.10336303710938
155,1998,68.30188751220703
156,1999,68.57604217529297
157,1999,69.21888732910156
158,1999,69.66320037841797
159,1999,70.11697387695312
160,2000,70.81653594970703
161,2000,71.55390930175781
162,2000,72.12112426757812
163,2000,72.50872039794922
164,2001,73.20828247070312
165,2001,73.96456909179688
166,2001,74.0591049194336
167,2001,73.83221435546875
168,2002,74.1158218383789
169,2002,74.91937255859375
170,2002,75.24079895019531
171,2002,75.49604034423828
172,2003,76.24287414550781
173,2003,76.52647399902344
174,2003,76.89517211914062
175,2003,76.90461730957031
176,2004,77.62309265136719
177,2004,78.7197036743164
178,2004,78.99385070800781
179,2004,79.47599029541016
180,2005,79.94866180419922
181,2005,81.03582000732422
182,2005,82.00953674316406
183,2005,82.4160385131836
184,2006,82.88871765136719
185,2006,84.27838897705078
186,2006,84.7605209350586
187,2006,84.04205322265625
188,2007,84.9023208618164
189,2007,86.51888275146484
190,2007,86.75521850585938
191,2007,87.379150390625
192,2008,88.37178039550781
193,2008,90.30975341796875
194,2008,91.35909271240234
195,2008,88.77828216552734
196,2009,88.3339614868164
197,2009,89.27931213378906
198,2009,89.88433837890625
199,2009,90.05451202392578
200,2010,90.41374206542969
201,2010,90.84860229492188
202,2010,90.93368530273438
203,2010,91.1983871459961
204,2011,92.35171508789062
205,2011,93.96827697753906
206,2011,94.3464126586914
207,2011,94.19515991210938
208,2012,94.96089935302734
209,2012,95.73609161376953
210,2012,95.95352172851562
211,2012,95.98188018798828
212,2013,96.55854797363281
213,2013,97.06903839111328
214,2013,97.44718170166016
215,2013,97.17302703857422
216,2014,97.90094757080078
217,2014,99.06373596191406
218,2014,99.17717742919922
219,2014,98.3830795288086
220,2015,97.84423065185547
221,2015,99.0353775024414
222,2015,99.2906265258789
223,2015,98.84630584716797
224,2016,98.90802001953125
225,2016,100.06756591796875
226,2016,100.40047454833984
227,2016,100.62393951416016
