suite,source,grid,dgp,n_train,method,metric,target_id,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_phase6,main,D2,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.02087248846,0.004674390036,0.0209(0.0047)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.00949859389,0.001453440153,0.0095(0.0015)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,2.98381481e-15,1.329055293e-15,0.0000(0.0000)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02454343553,0.004096072986,0.0245(0.0041)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.045452482,0.005115328833,0.0455(0.0051)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02871460988,0.002823066711,0.0287(0.0028)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,8.521756495e-15,4.768571388e-15,0.0000(0.0000)
abstract,merged_phase6,main,D2,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.04594919425,0.005269867254,0.0459(0.0053)
abstract,merged_original_drf,main,D2,1000,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.01903902593,0.003852508149,0.0190(0.0039)
abstract,merged_original_drf,main,D2,1000,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01147243939,0.002572757597,0.0115(0.0026)
abstract,merged_original_drf,main,D2,1000,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,1.176978263e-17,2.153121519e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D2,1000,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02164820397,0.005415820815,0.0216(0.0054)
abstract,merged_original_drf,main,D2,1000,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.03538340953,0.005425106891,0.0354(0.0054)
abstract,merged_original_drf,main,D2,1000,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.01693892483,0.002396253954,0.0169(0.0024)
abstract,merged_original_drf,main,D2,1000,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,1.680505812e-17,1.855138682e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D2,1000,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.03958520684,0.005033104223,0.0396(0.0050)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.02457168005,0.007100125156,0.0246(0.0071)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01756150116,0.002957287035,0.0176(0.0030)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,1.342212431e-17,2.808950438e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.03257420916,0.008044860585,0.0326(0.0080)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.04041270879,0.00505254801,0.0404(0.0051)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.03062741964,0.003542288932,0.0306(0.0035)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,1.882129278e-17,2.659928552e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.04990851472,0.006279052452,0.0499(0.0063)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.01496381053,0.004618928533,0.0150(0.0046)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01961591451,0.003425109873,0.0196(0.0034)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.0001602485015,0.0001238308205,0.0002(0.0001)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02353837118,0.008001856003,0.0235(0.0080)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.03917931433,0.004250895551,0.0392(0.0043)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.0423097338,0.003079966991,0.0423(0.0031)
