suite,source,grid,dgp,n_train,method,metric,target_aggregation,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_original_drf,main,D2,1000,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.0229768853,0.002464634126,0.0230(0.0025)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.03736267163,0.0008394765896,0.0374(0.0008)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.07651723277,0.003167590716,0.0765(0.0032)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.01436722735,0.003433488648,0.0144(0.0034)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.02392140167,0.002540708262,0.0239(0.0025)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01867684759,0.003848123381,0.0187(0.0038)
abstract,merged_original_causal_drf,main,D5,1000,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03023716079,0.002727108574,0.0302(0.0027)
abstract,merged_phase6,main,D5,1000,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.02204534937,0.0007651203301,0.0220(0.0008)
abstract,merged_phase6,main,D5,1000,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.09461617446,0.01529342953,0.0946(0.0153)
abstract,merged_phase6,main,D5,1000,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.02016251041,0.003999926718,0.0202(0.0040)
abstract,merged_phase6,main,D5,1000,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.04180452397,0.005507718496,0.0418(0.0055)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01456958618,0.003856155079,0.0146(0.0039)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03315491064,0.002385540147,0.0332(0.0024)
abstract,merged_original_drf,main,D5,1000,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.04312521723,0.001064567446,0.0431(0.0011)
abstract,merged_original_drf,main,D5,1000,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.0916638917,0.003649196737,0.0917(0.0036)
abstract,merged_original_drf,main,D5,1000,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.01509606948,0.003744688242,0.0151(0.0037)
abstract,merged_original_drf,main,D5,1000,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.02348067828,0.002832917516,0.0235(0.0028)
abstract,merged_original_drf,main,D5,1000,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01319260248,0.002855236059,0.0132(0.0029)
abstract,merged_original_drf,main,D5,1000,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.02948899577,0.003044438904,0.0295(0.0030)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.006443619858,0.0004165392846,0.0064(0.0004)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2309990769,0.01318817947,0.2310(0.0132)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.02609079841,0.007507775231,0.0261(0.0075)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.05854900571,0.009061844294,0.0585(0.0091)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.05042148539,0.009019208047,0.0504(0.0090)
