paper_dgp,dgp,metric,target_id,detail,arm,method_left,method_right,rmse_difference,paired_mc_se,ci95_low,ci95_high,n_pairs
Z2,ZI2,barycenter_rmse,MEANQ-A-K,,1.0,causal_drf,drf,-0.07529941348773456,0.007050576656995342,-0.08911854373544542,-0.061480283240023685,50
Z2,ZI2,barycenter_rmse,MEANQ-A-K,,1.0,cwdb_zipt,drf,-0.22282667156452213,0.012126674849145895,-0.2465949542688481,-0.19905838886019617,50
Z2,ZI2,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,causal_drf,cwdb_zipt,0.015543669844351828,0.004540360029355964,0.0066445641868141374,0.024442775501889516,50
Z2,ZI2,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,causal_drf,drf,-0.002814012707224575,0.0015696312821579011,-0.005890490020254061,0.000262464605804911,50
Z2,ZI2,mass_contrast_rmse,LAW-A-K,degenerate-probability contrast across moderator bins,,cwdb_zipt,drf,-0.018357682551576403,0.004819993355264127,-0.027804869527894092,-0.008910495575258715,50
Z2,ZI2,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,causal_drf,cwdb_zipt,-0.027774223676527987,0.01821917579857561,-0.06348380824173619,0.007935360888680208,50
Z2,ZI2,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,causal_drf,drf,-0.0065650527490579424,0.007998082384551401,-0.02224129422277869,0.009111188724662805,50
Z2,ZI2,mean_quantile_rmse,MEANQ-A-K,"arm contrast, the mandatory common target",,cwdb_zipt,drf,0.021209170927470045,0.01873290026027409,-0.015507313582667173,0.05792565543760726,50
Z2,ZI2,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.04770218373080172,0.012997328165543625,0.022227420526336215,0.07317694693526722,50
Z2,ZI2,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,causal_drf,drf,-0.007917358804602148,0.003504890319627868,-0.01478694383107277,-0.0010477737781315272,50
Z2,ZI2,plugin_reference_tate_abs_error,REF-ATE-K,plugin reference contrast; marginal absolute error,,cwdb_zipt,drf,-0.05561954253540387,0.013307241836650621,-0.08170173653523909,-0.02953734853556865,50
Z2,ZI2,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.02412846462781773,0.01163678003135998,0.0013203757663521713,0.046936553489283286,50
Z2,ZI2,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.01071987906075128,0.0037144722157580246,-0.018000244603637007,-0.0034395135178655525,50
Z2,ZI2,plugin_reference_tcate_rmse,REF-TCATE-K,"plugin reference contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.03484834368856901,0.011614115832636475,-0.0576120107205365,-0.012084676656601522,50
