dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds
IC1,1000,5,5,kernel_law_error,LAW-A-K,,0.018618377251964406,0.0006999442153959474,10
IC1,1000,5,10,kernel_law_error,LAW-A-K,,0.020176184596326772,0.0007964666937692619,10
IC1,1000,5,25,kernel_law_error,LAW-A-K,,0.018787441922216135,0.0008380159435200131,10
IC1,1000,25,5,kernel_law_error,LAW-A-K,,0.01742099562642164,0.0006169079680452986,10
IC1,1000,25,10,kernel_law_error,LAW-A-K,,0.016942015582137426,0.000495678144880304,10
IC1,1000,25,25,kernel_law_error,LAW-A-K,,0.017166389356229078,0.0005119761492971572,10
IC1,1000,49,5,kernel_law_error,LAW-A-K,,0.017007730263828576,0.0006302705770530395,10
IC1,1000,49,10,kernel_law_error,LAW-A-K,,0.01679361499064177,0.0006518548437907728,10
IC1,1000,49,25,kernel_law_error,LAW-A-K,,0.017067528590906503,0.0005562703830841593,10
IC1,1000,5,5,mean_quantile_rmse,MEANQ-A-K,,0.09219766662753197,0.007331197385468218,10
IC1,1000,5,10,mean_quantile_rmse,MEANQ-A-K,,0.10920744483682032,0.00846895174130932,10
IC1,1000,5,25,mean_quantile_rmse,MEANQ-A-K,,0.10421349212998676,0.008454737352383472,10
IC1,1000,25,5,mean_quantile_rmse,MEANQ-A-K,,0.09043610417116354,0.006072862890823079,10
IC1,1000,25,10,mean_quantile_rmse,MEANQ-A-K,,0.1080161218431525,0.008190178457297647,10
IC1,1000,25,25,mean_quantile_rmse,MEANQ-A-K,,0.09910381232427184,0.008487714578958735,10
IC1,1000,49,5,mean_quantile_rmse,MEANQ-A-K,,0.09692112916968483,0.00882809854217251,10
IC1,1000,49,10,mean_quantile_rmse,MEANQ-A-K,,0.09520112272410197,0.005959314199374492,10
IC1,1000,49,25,mean_quantile_rmse,MEANQ-A-K,,0.0977728272043856,0.007438369637470585,10
IC1,1000,5,5,reference_effect_rmse,REF-ATE-K,,0.01586839591101471,0.002362048387650189,10
IC1,1000,5,10,reference_effect_rmse,REF-ATE-K,,0.011747542515877748,0.001982301674291654,10
IC1,1000,5,25,reference_effect_rmse,REF-ATE-K,,0.012931211488821783,0.002228915166897841,10
IC1,1000,25,5,reference_effect_rmse,REF-ATE-K,,0.014342927777420505,0.0027603529072185076,10
IC1,1000,25,10,reference_effect_rmse,REF-ATE-K,,0.01226532057704118,0.002190244024324839,10
IC1,1000,25,25,reference_effect_rmse,REF-ATE-K,,0.013519169279304282,0.0027262978168344364,10
IC1,1000,49,5,reference_effect_rmse,REF-ATE-K,,0.012846497570924913,0.0026104399527369575,10
IC1,1000,49,10,reference_effect_rmse,REF-ATE-K,,0.014078076729709742,0.0021322597351943404,10
IC1,1000,49,25,reference_effect_rmse,REF-ATE-K,,0.013347473769905926,0.0025909106136781123,10
IC1,1000,5,5,reference_tcate_rmse,REF-TCATE-K,,0.030084751825753254,0.003562509412181847,10
IC1,1000,5,10,reference_tcate_rmse,REF-TCATE-K,,0.026080990992539195,0.002634707544823959,10
IC1,1000,5,25,reference_tcate_rmse,REF-TCATE-K,,0.02837113392012532,0.0021240068431759977,10
IC1,1000,25,5,reference_tcate_rmse,REF-TCATE-K,,0.030026983831248473,0.003249928387519417,10
IC1,1000,25,10,reference_tcate_rmse,REF-TCATE-K,,0.030854929704266947,0.0025879007334415264,10
IC1,1000,25,25,reference_tcate_rmse,REF-TCATE-K,,0.02805222488235957,0.003132636775669796,10
IC1,1000,49,5,reference_tcate_rmse,REF-TCATE-K,,0.025309065728102525,0.0017870250956960462,10
IC1,1000,49,10,reference_tcate_rmse,REF-TCATE-K,,0.026510617471535953,0.00242595811075978,10
IC1,1000,49,25,reference_tcate_rmse,REF-TCATE-K,,0.029766920710564537,0.003132970256331418,10
IC1,1000,5,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.017182086402863415,0.003577114857020419,10
IC1,1000,5,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.015990088344196917,0.0020477833933885505,10
IC1,1000,5,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.012647360061748394,0.0029422918374174194,10
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.016956817048205605,0.0028504258645255668,10
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.014806210235166168,0.0030159028817328373,10
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.01485477330816678,0.0036952192319126397,10
IC1,1000,49,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.013799942244358451,0.00266042731191478,10
IC1,1000,49,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.015619083342700823,0.0029704259267563714,10
IC1,1000,49,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.01308291075547382,0.0034159387330181565,10
IC1,1000,5,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008231155013369022,0.0016953162179431497,10
IC1,1000,5,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008846572940565742,0.0019036589053753727,10
IC1,1000,5,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008537472931956358,0.0017467907818972852,10
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008769919001049746,0.002124576521134966,10
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.011780950752556009,0.0023835067776536933,10
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.009394568873473414,0.0022091697730075343,10
IC1,1000,49,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.010246904129447862,0.0019196796645777688,10
IC1,1000,49,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008389038621590171,0.0019141098443824552,10
IC1,1000,49,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.009488948806049249,0.0019371882767657074,10
IC1,1000,5,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0027402091810245664,0.0006782680618662488,10
IC1,1000,5,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0035963561968699207,0.0006698617743240916,10
IC1,1000,5,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0025293490890755414,0.0005868073694795871,10
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.00784103081221485,0.002488417048922979,10
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.004292975108281377,0.0009260399341485332,10
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.004923316440854452,0.0011328849680758697,10
