dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs
SYM-MU,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.05013507040236973,0.005088093740013025,,,,0
SYM-MU,500,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.03526712162386388,0.005591721166678976,,,,0
SYM-MU,500,25,10,drf,,kernel_law_error,LAW-A-K,10,0.06882646183108912,0.0018178946387165616,,,,0
SYM-MU,500,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.171736226727768,0.005655849363677779,,,,0
SYM-MU,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.049930838984983766,0.005014102825159438,,,,0
SYM-MU,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.04606623016364775,0.003975286233443303,,,,0
SYM-MU,1000,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.02171812068898818,0.0028348764693648903,,,,0
SYM-MU,1000,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.048223522389660156,0.0014042408039153839,,,,0
SYM-MU,1000,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.14995571933136212,0.004952682520933437,,,,0
SYM-MU,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04602028724372372,0.003962653720413138,,,,0
SYM-MU,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.028698635494495896,0.0021509790698565393,,,,0
SYM-MU,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,0.0026976409862420436,,,,0
SYM-MU,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.02363687322588149,0.0009647139604934826,,,,0
SYM-MU,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,0.005663098708249152,,,,0
SYM-MU,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,0.002142175768558525,,,,0
SYM-MU,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.040581754228094076,0.0034347881862918307,,,,0
SYM-MU,1000,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.016953376150341024,0.002929977014722561,,,,0
SYM-MU,1000,25,10,drf,,kernel_law_error,LAW-A-K,10,0.053574741689196036,0.0014271790763847215,,,,0
SYM-MU,1000,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.14217880802968572,0.004450011898429515,,,,0
SYM-MU,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04058990725355302,0.0034345857269095633,,,,0
SYM-NL,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.08889840829236764,0.009594169676481903,,,,0
SYM-NL,500,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.05512194841675805,0.009495257842222963,,,,0
SYM-NL,500,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.06711154846611832,0.0014519206356868911,,,,0
SYM-NL,500,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.25885869031758435,0.009783478784643473,,,,0
SYM-NL,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.08871280093600367,0.009524009195167781,,,,0
SYM-NL,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,0.008516436600269696,,,,0
SYM-NL,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,0.00526402860065514,,,,0
SYM-NL,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.029028240854596498,0.0008581551920452365,,,,0
SYM-NL,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,0.005485270406987439,,,,0
SYM-NL,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.059435982448728,0.008462613355152436,,,,0
SYM-NL,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.07457614920114564,0.008049654969132146,,,,0
SYM-NL,500,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.052465542893471086,0.00820925121054694,,,,0
SYM-NL,500,25,10,drf,,kernel_law_error,LAW-A-K,10,0.07912275636571445,0.0023468244746755614,,,,0
SYM-NL,500,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.2548878352416909,0.010251502656076933,,,,0
SYM-NL,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.07440903041624954,0.007977823217194625,,,,0
SYM-NL,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.08135784159863987,0.007192001732717625,,,,0
SYM-NL,1000,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.03956590141936661,0.007478881519145054,,,,0
SYM-NL,1000,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.05342612125435074,0.0011379213780113714,,,,0
SYM-NL,1000,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.2213896204545313,0.006037754866190243,,,,0
SYM-NL,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.08115953370782125,0.007170230595375982,,,,0
