dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs,diagnostic_only
SYM-MU,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,0.0034473538244725052,,,,0,False
SYM-MU,500,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-K,10,0.15238914262855846,0.016539395956090743,,,,0,False
SYM-MU,500,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-K,10,0.04258814632248029,0.004205619711603349,,,,0,True
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,,0.15238914262855846,-0.10624245275982698,0.018012416320462497,10,False
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,,0.04258814632248029,0.0035585435462511935,0.002490721005316346,10,True
SYM-MU,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,0.004634427504995611,,,,0,False
SYM-MU,500,25,10,cwdb_dr_flex,,reference_effect_rmse,REF-ATE-K,10,0.06046896113799519,0.01547978332377493,,,,0,False
SYM-MU,500,25,10,cwdb_dr_oracle,,reference_effect_rmse,REF-ATE-K,10,0.020163737673490542,0.0051317501285572786,,,,0,True
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_flex,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,,0.0604689611379952,-0.03817370799602134,0.015013061160590542,10,False
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,,0.020163737673490546,0.0021315154684833004,0.002553875183018141,10,True
SYM-MU,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.02732646504254609,0.0005224216593812484,,,,0,False
SYM-MU,500,25,10,cwdb_dr_flex,,kernel_law_error,LAW-A-K,10,0.02732646504254609,0.0005224216593812484,,,,0,False
SYM-MU,500,25,10,cwdb_dr_oracle,,kernel_law_error,LAW-A-K,10,0.02732646504254609,0.0005224216593812484,,,,0,True
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_flex,kernel_law_error,LAW-A-K,10,0.02732646504254609,,0.02732646504254609,0.0,0.0,10,False
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_oracle,kernel_law_error,LAW-A-K,10,0.02732646504254609,,0.02732646504254609,0.0,0.0,10,True
SYM-MU,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,0.0070403170331946015,,,,0,False
SYM-MU,500,25,10,cwdb_dr_flex,,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,0.007040317033194603,,,,0,False
SYM-MU,500,25,10,cwdb_dr_oracle,,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,0.007040317033194603,,,,0,True
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_flex,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,,0.1286768278304405,2.7755575615628915e-18,1.8503717077085942e-18,10,False
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_oracle,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,,0.1286768278304405,2.7755575615628915e-18,1.8503717077085942e-18,10,True
SYM-MU,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,0.0033697592869758254,,,,0,False
SYM-MU,500,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.15191190170152108,0.016533376757326638,,,,0,False
SYM-MU,500,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04231418240493272,0.004199371207092758,,,,0,True
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,,0.1519119017015211,-0.10594983022877427,0.017963660308121417,10,False
SYM-MU,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,,0.04231418240493272,0.0036478890678140934,0.0024935560004640555,10,True
SYM-MU,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.028698635494495896,0.0021509790698565393,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-K,10,0.10566040093055067,0.011726802390113063,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-K,10,0.02614621015131268,0.002533207169077618,,,,0,True
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-K,10,0.0286986354944959,,0.1056604009305507,-0.07696176543605478,0.012132338313652827,10,False
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-K,10,0.0286986354944959,,0.02614621015131268,0.002552425343183216,0.0031424150948792216,10,True
SYM-MU,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,0.0026976409862420436,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_flex,,reference_effect_rmse,REF-ATE-K,10,0.03812626854761173,0.007317690076356596,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_oracle,,reference_effect_rmse,REF-ATE-K,10,0.008854753598658803,0.002424573634522679,,,,0,True
