dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs,diagnostic_only
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,,0.03812626854761173,-0.02665415162202723,0.007220405435997464,10,False
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,,0.008854753598658801,0.0026173633269256967,0.0012366758133620862,10,True
SYM-MU,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.02363687322588149,0.0009647139604934826,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_flex,,kernel_law_error,LAW-A-K,10,0.02363687322588149,0.0009647139604934826,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_oracle,,kernel_law_error,LAW-A-K,10,0.02363687322588149,0.0009647139604934826,,,,0,True
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_flex,kernel_law_error,LAW-A-K,10,0.02363687322588149,,0.02363687322588149,0.0,0.0,10,False
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_oracle,kernel_law_error,LAW-A-K,10,0.02363687322588149,,0.02363687322588149,0.0,0.0,10,True
SYM-MU,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,0.005663098708249152,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_flex,,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,0.005663098708249151,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_oracle,,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,0.005663098708249151,,,,0,True
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_flex,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,,0.11222213791673293,2.7755575615628915e-18,1.8503717077085942e-18,10,False
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_oracle,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,,0.11222213791673293,2.7755575615628915e-18,1.8503717077085942e-18,10,True
SYM-MU,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,0.002142175768558525,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.10498522404010151,0.011642501738357762,,,,0,False
SYM-MU,1000,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.02597529848078991,0.0025032979057362974,,,,0,True
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,,0.10498522404010151,-0.07642078277521848,0.012041662754075762,10,False
SYM-MU,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,,0.02597529848078991,0.0025891427840931186,0.0031227493218723007,10,True
SYM-NL,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,0.008516436600269696,,,,0,False
SYM-NL,500,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-K,10,0.17366091991802143,0.01865052594763657,,,,0,False
SYM-NL,500,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-K,10,0.057824389196269844,0.004853112855397249,,,,0,True
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,,0.17366091991802143,-0.11396128470114793,0.01943134748823964,10,False
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,,0.05782438919626985,0.0018752460206036784,0.006978414758107953,10,True
SYM-NL,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,0.00526402860065514,,,,0,False
SYM-NL,500,25,10,cwdb_dr_flex,,reference_effect_rmse,REF-ATE-K,10,0.054835035390517685,0.014571538412248841,,,,0,False
SYM-NL,500,25,10,cwdb_dr_oracle,,reference_effect_rmse,REF-ATE-K,10,0.023473343123807368,0.004379903692608852,,,,0,True
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_flex,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,,0.054835035390517685,-0.033652968562680095,0.010508247709177396,10,False
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,,0.023473343123807368,-0.002291276295969784,0.003974912203015847,10,True
SYM-NL,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.029028240854596498,0.0008581551920452365,,,,0,False
SYM-NL,500,25,10,cwdb_dr_flex,,kernel_law_error,LAW-A-K,10,0.029028240854596498,0.0008581551920452365,,,,0,False
SYM-NL,500,25,10,cwdb_dr_oracle,,kernel_law_error,LAW-A-K,10,0.029028240854596498,0.0008581551920452365,,,,0,True
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_flex,kernel_law_error,LAW-A-K,10,0.029028240854596498,,0.029028240854596498,0.0,0.0,10,False
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_oracle,kernel_law_error,LAW-A-K,10,0.029028240854596498,,0.029028240854596498,0.0,0.0,10,True
SYM-NL,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,0.005485270406987439,,,,0,False
SYM-NL,500,25,10,cwdb_dr_flex,,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,0.005485270406987439,,,,0,False
SYM-NL,500,25,10,cwdb_dr_oracle,,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,0.005485270406987439,,,,0,True
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_flex,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,,0.1321790104706922,0.0,2.068778461039394e-18,10,False
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_oracle,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,,0.1321790104706922,0.0,2.068778461039394e-18,10,True
SYM-NL,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.059435982448728,0.008462613355152436,,,,0,False
SYM-NL,500,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.17299243043148757,0.018563445647105603,,,,0,False
SYM-NL,500,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.057436460006032995,0.004816257520185254,,,,0,True
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.05943598244872801,,0.17299243043148757,-0.11355644798275957,0.019330976552560015,10,False
SYM-NL,500,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.05943598244872801,,0.057436460006032995,0.0019995224426950066,0.007018390054779197,10,True
SYM-NL,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.041656364175153476,0.0058493530802434315,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-K,10,0.14708963800252686,0.014719189076888656,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-K,10,0.03388322710801821,0.005289305229983827,,,,0,True
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-K,10,0.041656364175153476,,0.1470896380025269,-0.1054332738273734,0.015459753139952634,10,False
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-K,10,0.041656364175153476,,0.03388322710801821,0.007773137067135265,0.0021981230829660357,10,True
SYM-NL,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.017633342444770113,0.0047044228929711135,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_flex,,reference_effect_rmse,REF-ATE-K,10,0.04920530363015299,0.013679465192692941,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_oracle,,reference_effect_rmse,REF-ATE-K,10,0.014878615217707938,0.004869186141310095,,,,0,True
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_effect_rmse,REF-ATE-K,10,0.017633342444770113,,0.04920530363015299,-0.03157196118538287,0.014920730147619193,10,False
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_effect_rmse,REF-ATE-K,10,0.017633342444770113,,0.014878615217707938,0.0027547272270621753,0.004003457829309854,10,True
SYM-NL,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.021998632074992107,0.0008160869146068772,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_flex,,kernel_law_error,LAW-A-K,10,0.021998632074992107,0.0008160869146068772,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_oracle,,kernel_law_error,LAW-A-K,10,0.021998632074992107,0.0008160869146068772,,,,0,True
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_flex,kernel_law_error,LAW-A-K,10,0.021998632074992107,,0.021998632074992107,0.0,0.0,10,False
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_oracle,kernel_law_error,LAW-A-K,10,0.021998632074992107,,0.021998632074992107,0.0,0.0,10,True
SYM-NL,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,0.007847595250929549,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_flex,,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,0.007847595250929549,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_oracle,,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,0.007847595250929549,,,,0,True
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_flex,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,,0.10712225604274224,0.0,0.0,10,False
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_oracle,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,,0.10712225604274224,0.0,0.0,10,True
SYM-NL,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04146431093787309,0.00588268344013746,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_flex,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.1461968931756134,0.014456699837278842,,,,0,False
SYM-NL,1000,25,10,cwdb_dr_oracle,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.03370466699516301,0.005284726157418615,,,,0,True
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04146431093787309,,0.1461968931756134,-0.10473258223774029,0.01517649428547335,10,False
SYM-NL,1000,25,10,cwdb_dr,cwdb_dr_oracle,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04146431093787309,,0.033704666995163016,0.007759643942710085,0.002216496432731534,10,True
