n_train,n_grid,n_particles,metric,target_id,n_pairs,align_mean,irrelevant_mean,paired_delta,paired_mc_se,p_value
500,25,10,reference_tcate_rmse,REF-TCATE-K,10,0.04123230487745067,0.03710051492197961,0.0041317899554710585,0.005822750395629693,0.4779558123821195
500,25,10,reference_effect_rmse,REF-ATE-K,10,0.018206293620916993,0.02308055775034442,-0.004874264129427425,0.00632244809660186,0.4407391217857286
500,25,10,kernel_law_error,LAW-A-K,10,0.02681727735788938,0.028504751605416007,-0.0016874742475266294,0.001049675634800548,0.10791953500418308
500,25,10,mean_quantile_rmse,MEANQ-A-K,10,0.12565821516575743,0.13545673367321273,-0.0097985185074553,0.006798700351796288,0.1495185691598094
500,25,10,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04121301828987476,0.03699484604128911,0.004218172248585642,0.005723390501229128,0.46111879531544686
1000,25,10,reference_tcate_rmse,REF-TCATE-K,10,0.034821064333364,0.03563073892903791,-0.0008096745956739159,0.005231842776039081,0.8770113391502931
1000,25,10,reference_effect_rmse,REF-ATE-K,10,0.013457039837507262,0.01474983052392051,-0.00129279068641325,0.005697337488240484,0.8204926563521645
1000,25,10,kernel_law_error,LAW-A-K,10,0.022390849389820305,0.02282076193606277,-0.0004299125462424658,0.0012204719276387155,0.7246499774847338
1000,25,10,mean_quantile_rmse,MEANQ-A-K,10,0.11773692437874399,0.11292171468187659,0.004815209696867402,0.0053364300221223826,0.3668827088009333
1000,25,10,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.034654114367041994,0.03560613365502732,-0.000952019287985333,0.005190397216659199,0.8544689936620037
