method,n_grid,n_particles,n_runs,mean_runtime_seconds,sum_runtime_seconds,mean_wall_seconds,mean_process_peak_ram_mb,max_process_peak_ram_mb
causal_drf,5,10,40,19.9018,796.072,46.33691708159995,618.06748046875,726.08984375
causal_drf,25,10,280,32.19559642857143,9014.767,40.82436247674283,478.42843191964283,726.08984375
causal_drf,49,10,40,55.7709,2230.836,81.42961851309974,642.49462890625,726.08984375
cwdb_dr,5,5,20,73.82965314655048,1476.5930629310096,91.29834761550009,733.426953125,968.34765625
cwdb_dr,5,10,40,111.96203360384986,4478.4813441539945,126.86646628627503,838.453515625,949.89453125
cwdb_dr,5,25,20,460.2346520759511,9204.693041519022,483.5494887839501,786.6685546875,968.34765625
cwdb_dr,25,5,40,150.73837444327475,6029.53497773099,167.08924250457554,835.05888671875,949.89453125
cwdb_dr,25,10,360,299.37233339801116,107774.04002328402,306.0774156875889,645.8553059895834,955.9296875
cwdb_dr,25,25,40,1435.8646422769748,57434.585691078995,1456.0549844141246,872.50830078125,947.9140625
cwdb_dr,49,5,20,307.8020545571009,6156.041091142019,329.29513712499937,803.8931640625,968.34765625
cwdb_dr,49,10,120,543.9883091544581,65278.59709853496,559.13051463765,889.42421875,955.9296875
cwdb_dr,49,25,20,3526.638670101299,70532.77340202598,3553.0019055521493,956.75703125,1025.68359375
cwdb_dr_flex,25,10,40,262.9095006876498,10516.380027505993,265.6174773045999,400.2490234375,458.7734375
cwdb_dr_flex_rf,25,10,40,225.87046986309997,9034.818794523999,228.3897568968,454.15,477.7109375
cwdb_dr_oracle,25,10,40,258.0728318896246,10322.913275584984,260.5428678899749,407.27255859375,463.41015625
drf,5,10,40,28.174950000000003,1126.998,50.97910783872503,618.75693359375,726.08984375
drf,25,10,280,28.09039285714286,7865.31,36.352417892517835,479.27029854910717,726.08984375
drf,49,10,40,38.917775,1556.711,63.47934120424943,645.73701171875,726.08984375
