grid,dgp,n_train,n_grid,n_particles,method,metric,target_id,n_seeds,mean,sd,mc_se,median
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-COMMON199-grid_sd,10,0.0015660970366014472,0.0012994322852769211,0.0004109165686632752,0.0013499799470308876
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-COMMON199-grid_skewness,10,0.0006825148859208095,0.00040584239101179364,0.00012833863266459154,0.0006098568059727912
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,10,0.04513907625934269,0.02365716618633833,0.007481052813394847,0.03819643958800674
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0.04586145390014494,0.024282923124560023,0.0076789345320382296,0.040827670300859015
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0.0014153871100098258,0.001325718095821995,0.00041922887180988574,0.0010860447740841262
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0.0007385467747056233,0.0004404570861327948,0.00013928476037405966,0.0006147566703573874
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0.04559772224092075,0.02410170239636711,0.007621627506005839,0.03892274610658561
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-COMMON199-grid_mean,10,0.06475569509524204,0.024177813146785358,0.007645695838580467,0.05856186099903883
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-COMMON199-grid_sd,10,0.005058059799116439,0.0013439019677050675,0.0004249791169930062,0.005157453681036566
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,10,0.0020692213278622534,0.0010476695319124433,0.0003313021956005782,0.0021239529566883047
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-COMMON199-grid_upper_tail_mean,10,0.06420814621439494,0.023936194973282986,0.007569289463344744,0.058925672812972424
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0.0647557001820854,0.02417781559121942,0.00764569661157839,0.058561870628030276
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0.005071945668320388,0.0013551520267582244,0.00042853669803494346,0.0051665786599445415
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0.0022118134905627983,0.0011267596528616339,0.00035631268786234224,0.002237035710461084
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0.06421588253968105,0.023939717589517018,0.007570403412406966,0.05889476106493052
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,arm_energy_risk,LAW-A-M-K,10,0.09194453863334391,0.00844834388690711,0.002671600913898645,0.08985027029018963
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,barycenter_rmse,MEANQ-A-K,10,0.3070540954683977,0.016358350403135918,0.005172964603704311,0.3040298481823988
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,diagnostic_effective_support,NONE_OPERATIONAL,10,131.94457636347673,1.5954445660120917,0.5045238709137072,131.7738949241765
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,kernel_law_error,LAW-A-COMMON199,10,0.08577937803044065,0.008882428893665304,0.0028088706458471923,0.08534350610946156
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,kernel_law_error,LAW-A-INTERIOR,10,0.07566498931230008,0.009001548723165201,0.0028465396434182513,0.07495831208136672
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,kernel_law_error,LAW-A-K,10,0.0763782557554009,0.008949948218252396,0.002830222131024334,0.07565459968368285
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,mean_quantile_rmse,MEANQ-A-COMMON199,10,0.2240826310638413,0.03188497952033229,0.010082915843207309,0.2187492687658747
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,mean_quantile_rmse,MEANQ-A-INTERIOR,10,0.22405293928151368,0.03188100249136809,0.010081658196222575,0.218716652062825
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,mean_quantile_rmse,MEANQ-A-K,10,0.22408302524074059,0.03188503234243008,0.010082932547021289,0.21874970177257963
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,mode_coverage,LAW-A-K,10,1.0,0.0,0.0,1.0
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,peak_ram,NONE_OPERATIONAL,10,380.19,15.697448483396554,4.963969066068893,374.95
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,process_peak_ram,NONE_OPERATIONAL,10,219.227734375,5.712986162247219,1.8066048513725463,218.16796875
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,reference_effect_rmse,REF-ATE-COMMON199,10,0.045082009307406086,0.02037367275625821,0.006442721021269647,0.04387222271252166
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,reference_effect_rmse,REF-ATE-K,10,0.04509609201383589,0.02032167685552698,0.006426278473739376,0.04404911354733454
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.05902413782721466,0.017605293379882408,0.005567282595591239,0.05977549951667555
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,reference_tcate_rmse,REF-TCATE-INTERIOR,10,0.061052901985231625,0.018238180337387562,0.005767419024304288,0.06174325409032423
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,reference_tcate_rmse,REF-TCATE-K,10,0.059124357041113906,0.017572133408926775,0.0055567964920547564,0.06008080042475161
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,runtime,NONE_OPERATIONAL,10,18.9517,1.3424804612689485,0.42452959718833366,19.805
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tail_calibration,LAW-A-K,10,0.05052456888214546,0.004862328989290026,0.0015376034339220942,0.049515893351102944
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-COMMON199-grid_mean,10,0.1809876145446445,0.03732361103462783,0.011802762137161759,0.16761136823915937
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-COMMON199-grid_sd,10,0.0018853611540096196,0.0021626610489921027,0.0006838934721744038,0.001265083228877818
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-COMMON199-grid_skewness,10,3.710609463229659e-17,2.693516451183135e-17,8.51764690087244e-18,2.809502086525221e-17
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,10,0.1799771625305062,0.03613162790109414,0.01142582397371465,0.16636670680491739
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-K-grid_mean,10,0.1809876145446445,0.03732361103462781,0.011802762137161752,0.16761136823915934
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-K-grid_sd,10,0.001892035271792427,0.0021703167994750003,0.0006863144330467929,0.001269561582776566
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-K-grid_skewness,10,8.898610382050943e-18,5.6019127463618164e-18,1.771480353203246e-18,7.05322892590809e-18
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0.1800111190570109,0.03617031182431025,0.011438056904334047,0.1664085340054077
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-COMMON199-grid_mean,10,0.18612036544047772,0.03714891409853862,0.011747518115332282,0.1700488835507275
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-COMMON199-grid_sd,10,0.0031237415389249222,0.0017440857282288594,0.0005515283335796621,0.0028439681613758264
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,10,5.706673048165899e-17,2.0155238006464618e-17,6.373645888321972e-18,6.027928735907347e-17
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-COMMON199-grid_upper_tail_mean,10,0.18529956155186875,0.03582091647794765,0.011327568394497122,0.16873327508969269
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0.18612036544047772,0.037148914098538634,0.011747518115332286,0.17004888355072748
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0.0031347994833985744,0.001750259735553002,0.0005534807261231474,0.0028540357171007134
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,1.8264986780854223e-17,8.049423592626423e-18,2.5454512404194834e-18,1.7320295847842e-17
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0.1853268269525698,0.0358644165629075,0.011341324329185519,0.16877723521984073
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,arm_energy_risk,LAW-A-M-K,10,0.06246748567256222,0.004125531878418018,0.0013046077295433788,0.0626577230110388
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,barycenter_rmse,MEANQ-A-K,10,0.2362256235461146,0.00973179951861538,0.0030774652210954806,0.2375231154972801
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,diagnostic_effective_support,NONE_OPERATIONAL,10,121.76619205010948,1.969267263504083,0.6227369874279879,121.60450794085511
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,kernel_law_error,LAW-A-COMMON199,10,0.057911100548195774,0.004580420823819752,0.0014484562445335244,0.05715857611594126
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,kernel_law_error,LAW-A-INTERIOR,10,0.04769360582247266,0.00450094369470185,0.0014233233695431387,0.04700583097787716
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,kernel_law_error,LAW-A-K,10,0.04820892859458814,0.00448744750370567,0.00141905549921468,0.04756507353493988
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,mean_quantile_rmse,MEANQ-A-COMMON199,10,0.17558971057925157,0.013871391641169203,0.004386519190231576,0.17935164067835185
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,mean_quantile_rmse,MEANQ-A-INTERIOR,10,0.17553198049020424,0.013870271859232721,0.004386165084091376,0.17929736918334982
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.1755904768957593,0.013871406734172084,0.004386523963058159,0.1793523610622943
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,mode_coverage,LAW-A-K,10,1.0,0.0,0.0,1.0
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,peak_ram,NONE_OPERATIONAL,10,374.65431,1.9426348844631969,0.6143150897001748,374.7617
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,process_peak_ram,NONE_OPERATIONAL,10,283.25234375,6.700925210867573,2.119018609678561,282.353515625
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,reference_effect_rmse,REF-ATE-COMMON199,10,0.040027205974692524,0.019879560645136924,0.006286469052207899,0.03882720654822835
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.03989779886971178,0.01996935773594205,0.006314865385628015,0.0387806801383262
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.06358999502336862,0.012518852874788986,0.00395880887768799,0.0628570247620126
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE-INTERIOR,10,0.06600168956758365,0.01303337431720381,0.0041215148439905916,0.06530653755563343
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.06363283487587101,0.012529441782501836,0.003962157384318583,0.06301157234751903
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,runtime,NONE_OPERATIONAL,10,35.8215,1.546977644742591,0.48919728467493906,35.188
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tail_calibration,LAW-A-K,10,0.0428934063747501,0.005525444644069751,0.0017472990160438795,0.04307776415481007
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-COMMON199-grid_mean,10,0.1366916534330964,0.0121184864483671,0.0038322018970724523,0.1341052205138371
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-COMMON199-grid_sd,10,0.0027287088351821264,0.002096084740483431,0.0006628401948650588,0.0030492281641909067
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-COMMON199-grid_skewness,10,2.3537426083050344e-17,1.7802610924437458e-17,5.629679881901811e-18,1.7803904346395756e-17
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,10,0.13452829969876787,0.012852952345196263,0.004064460406842292,0.13199661045851213
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0.13669165343309642,0.012118486448367112,0.003832201897072456,0.13410522051383705
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0.0027383683766032878,0.0021035048129777393,0.000665186627813617,0.003060022333717082
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,1.0770246993198127e-17,7.866924520431666e-18,2.4877399665191897e-18,1.0509347279934999e-17
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0.1346009998145486,0.012825101413002549,0.0040556531687731875,0.1320616442374899
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tcate_functional_rmse,TCATE-COMMON199-grid_mean,10,0.14515746755739592,0.011179244951528892,0.0035351876567769947,0.14590640693731782
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tcate_functional_rmse,TCATE-COMMON199-grid_sd,10,0.004073928545708745,0.0017596387085157,0.0005564466177906737,0.0045109153340778235
wcf_sensitivity_v1_align,SYM-ALIGN,1000,25,10,causal_drf,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,10,4.262993068391162e-17,1.701488776892706e-17,5.380579948195024e-18,4.2008547030355315e-17
