grid,dgp,n_train,n_grid,n_particles,method,metric,comparison,native_target_id,common_target_id,n_pairs,native_mean,common_mean,paired_delta,paired_mc_se,p_value
wcf_sensitivity_v1_align,SYM-IRREL,500,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.028504751605416007,0.03876320246688983,-0.010258450861473815,0.00010787983994275078,0.0
wcf_sensitivity_v1_align,SYM-IRREL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.04531243594522392,0.045194291632608116,0.0001181443126158005,5.3500365779435366e-05,0.027224077167589854
wcf_sensitivity_v1_align,SYM-IRREL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.04531243594522392,0.047032211038078434,-0.0017197750928545212,0.00030325061456101544,1.4185477917614627e-08
wcf_sensitivity_v1_align,SYM-IRREL,500,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.06711101280100859,0.07657503082268166,-0.00946401802167305,0.00010957045078442693,0.0
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.032430936262109716,0.032273077947116535,0.00015785831499318912,4.444333111769339e-05,0.00038245864005755136
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.032430936262109716,0.03332813419917188,-0.0008971979370621674,0.00021168079217581464,2.2507073965138654e-05
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,causal_drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.051840153358296656,0.06146482196811014,-0.009624668609813482,0.00010987540361382154,0.0
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.03563073892903791,0.03560613365502732,2.460527401059072e-05,4.957667945321407e-05,0.619677530034997
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.03563073892903791,0.03683276938075246,-0.0012020304517145462,0.00017104730913106972,2.1030656186430093e-12
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.02282076193606277,0.03292992955845405,-0.010109167622391283,0.00010955914361233855,0.0
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.02847152151590947,0.028353005237528518,0.00011851627838095017,4.5327951695186424e-05,0.008932152995700071
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.02847152151590947,0.029326994116249915,-0.0008554726003404481,0.00023784949032519935,0.00032228325428600206
wcf_sensitivity_v1_align,SYM-IRREL,1000,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.05033451283260992,0.059978171887715793,-0.009643659055105867,0.00010407161398083243,0.0
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.07077345478766772,0.07054789212562915,0.00022556266203854687,7.261279753823466e-05,0.0018939563072850893
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.07077345478766772,0.07363025420129428,-0.0028567994136265477,0.00028406127447627694,8.558082653263827e-24
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,causal_drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.07100001015957624,0.08051015647628021,-0.00951014631670398,9.838950581059589e-05,0.0
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.044532586071383794,0.044379474674067276,0.0001531113973165188,0.00011993008898883908,0.20171803907591745
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.044532586071383794,0.046279754915900716,-0.0017471688445169242,0.00042128878360916857,3.365660387416335e-05
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.025392784854713506,0.03567782866106988,-0.010285043806356378,9.736635383536032e-05,0.0
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.08326473179800353,0.08294772805564454,0.00031700374235898857,6.671018509756322e-05,2.014600407283174e-06
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.08326473179800353,0.08662036330375332,-0.0033556315057497775,0.00035350577067377626,2.2569349036868333e-21
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,500,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.07371408903665735,0.08319573102935542,-0.009481641992698051,0.00011065400833107727,0.0
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.06641531627232172,0.06625062602882112,0.00016469024350058704,5.6060795865198616e-05,0.003306483822105881
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.06641531627232172,0.069057898006152,-0.0026425817338302806,0.00024014623763857627,3.6533729992425747e-28
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,causal_drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.05039042785488279,0.06011124349779462,-0.009720815642911832,0.0001137624034622982,0.0
