dgp,n_train,metric,target_id,method_a,coords_a,method_b,coords_b,n_pairs,mean_a,mean_b,delta_b_minus_a,mc_se,relative_pct,t_like,comparison
SYM-NL,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.0597,0.05647,-0.00323,0.003998,-5.41,-0.81,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.046147,0.047008,0.000861,0.001653,1.87,0.52,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.021182,0.020089,-0.001094,0.002181,-5.16,-0.5,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.022295,0.021518,-0.000778,0.001386,-3.49,-0.56,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.035396,0.035396,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.035286,0.035286,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.132179,0.132179,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.128677,0.128677,-0.0,0.0,-0.0,-0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.086855,0.074108,-0.012748,0.00431,-14.68,-2.96,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.061386,0.054699,-0.006688,0.00228,-10.89,-2.93,cwdb_dr -> cwdb_dr_flex_rf
