dgp,n_train,metric,target_id,method_a,coords_a,method_b,coords_b,n_pairs,mean_a,mean_b,delta_b_minus_a,mc_se,relative_pct,t_like,comparison
SYM-NL,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.059436,0.056198,-0.003238,0.003996,-5.45,-0.81,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.045962,0.046742,0.00078,0.001621,1.7,0.48,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.025767,0.023734,-0.002033,0.002548,-7.89,-0.8,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.02775,0.026286,-0.001464,0.001597,-5.27,-0.92,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.039177,0.039177,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.03742,0.03742,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.13201,0.13201,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.128599,0.128599,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.086855,0.074108,-0.012748,0.00431,-14.68,-2.96,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.061386,0.054699,-0.006688,0.00228,-10.89,-2.93,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.041656,0.038295,-0.003361,0.002573,-8.07,-1.31,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.028699,0.029103,0.000404,0.001616,1.41,0.25,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.017633,0.01911,0.001476,0.003395,8.37,0.43,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.011472,0.009811,-0.001662,0.000849,-14.48,-1.96,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.031124,0.031124,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.034163,0.034163,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.107122,0.107122,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.112222,0.112222,-0.0,0.0,-0.0,-0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.064846,0.051674,-0.013172,0.002569,-20.31,-5.13,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.040051,0.035119,-0.004932,0.002225,-12.31,-2.22,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.041464,0.038108,-0.003357,0.002574,-8.1,-1.3,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.028564,0.02891,0.000345,0.001609,1.21,0.21,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.022768,0.020403,-0.002365,0.003104,-10.39,-0.76,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.017399,0.014514,-0.002886,0.001018,-16.59,-2.83,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.032263,0.032263,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.03374,0.03374,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.107069,0.107069,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.111896,0.111896,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,1000,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.064846,0.051674,-0.013172,0.002569,-20.31,-5.13,cwdb_dr -> cwdb_dr_flex_rf
SYM-MU,1000,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_flex_rf,K25M10,10,0.040051,0.035119,-0.004932,0.002225,-12.31,-2.22,cwdb_dr -> cwdb_dr_flex_rf
SYM-NL,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.173661,0.05647,-0.117191,0.017397,-67.48,-6.74,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.152389,0.047008,-0.105381,0.017241,-69.15,-6.11,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,reference_effect_rmse,REF-ATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.054835,0.020089,-0.034747,0.011163,-63.37,-3.11,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,reference_effect_rmse,REF-ATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.060469,0.021518,-0.038951,0.01443,-64.42,-2.7,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,kernel_law_error,LAW-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.035396,0.035396,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,kernel_law_error,LAW-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.035286,0.035286,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.132179,0.132179,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.128677,0.128677,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.221658,0.074108,-0.14755,0.020254,-66.57,-7.29,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.177862,0.054699,-0.123164,0.022343,-69.25,-5.51,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.172992,0.056198,-0.116795,0.017308,-67.51,-6.75,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.151912,0.046742,-0.10517,0.017216,-69.23,-6.11,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.054008,0.023734,-0.030274,0.012537,-56.05,-2.41,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.059634,0.026286,-0.033348,0.015185,-55.92,-2.2,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.039177,0.039177,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.03742,0.03742,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.13201,0.13201,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.128599,0.128599,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.221658,0.074108,-0.14755,0.020254,-66.57,-7.29,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.177862,0.054699,-0.123164,0.022343,-69.25,-5.51,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.14709,0.038295,-0.108794,0.015611,-73.96,-6.97,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.10566,0.029103,-0.076558,0.011335,-72.46,-6.75,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.049205,0.01911,-0.030096,0.014649,-61.16,-2.05,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.038126,0.009811,-0.028316,0.006497,-74.27,-4.36,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,kernel_law_error,LAW-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.031124,0.031124,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,kernel_law_error,LAW-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.034163,0.034163,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.107122,0.107122,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.112222,0.112222,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.209454,0.051674,-0.15778,0.018771,-75.33,-8.41,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.105368,0.035119,-0.070249,0.010755,-66.67,-6.53,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.146197,0.038108,-0.108089,0.01536,-73.93,-7.04,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.104985,0.02891,-0.076075,0.011257,-72.46,-6.76,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.050552,0.020403,-0.030149,0.012531,-59.64,-2.41,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.038953,0.014514,-0.024439,0.00644,-62.74,-3.79,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.032263,0.032263,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.03374,0.03374,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.107069,0.107069,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.111896,0.111896,0.0,0.0,0.0,0.0,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,1000,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.209454,0.051674,-0.15778,0.018771,-75.33,-8.41,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-MU,1000,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr_flex,K25M10,cwdb_dr_flex_rf,K25M10,10,0.105368,0.035119,-0.070249,0.010755,-66.67,-6.53,cwdb_dr_flex -> cwdb_dr_flex_rf
SYM-NL,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.0597,0.057824,-0.001875,0.006978,-3.14,-0.27,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.046147,0.042588,-0.003559,0.002491,-7.71,-1.43,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.021182,0.023473,0.002291,0.003975,10.82,0.58,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.022295,0.020164,-0.002132,0.002554,-9.56,-0.83,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.035396,0.035396,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.035286,0.035286,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.132179,0.132179,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.128677,0.128677,-0.0,0.0,-0.0,-0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.086855,0.0656,-0.021256,0.007176,-24.47,-2.96,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.061386,0.046876,-0.01451,0.00447,-23.64,-3.25,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.059436,0.057436,-0.002,0.007018,-3.36,-0.28,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.045962,0.042314,-0.003648,0.002494,-7.94,-1.46,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.025767,0.023389,-0.002378,0.004103,-9.23,-0.58,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.02775,0.023778,-0.003972,0.002642,-14.31,-1.5,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.039177,0.039177,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.03742,0.03742,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.13201,0.13201,-0.0,0.0,-0.0,-0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.128599,0.128599,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.086855,0.0656,-0.021256,0.007176,-24.47,-2.96,cwdb_dr -> cwdb_dr_oracle
SYM-MU,500,tcate_functional_rmse,TCATE-COMMON199-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.061386,0.046876,-0.01451,0.00447,-23.64,-3.25,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.041656,0.033883,-0.007773,0.002198,-18.66,-3.54,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.028699,0.026146,-0.002552,0.003142,-8.89,-0.81,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.017633,0.014879,-0.002755,0.004003,-15.62,-0.69,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.011472,0.008855,-0.002617,0.001237,-22.81,-2.12,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.031124,0.031124,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.034163,0.034163,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.107122,0.107122,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.112222,0.112222,-0.0,0.0,-0.0,-0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.064846,0.039674,-0.025171,0.003479,-38.82,-7.23,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.040051,0.031132,-0.008919,0.004056,-22.27,-2.2,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.041464,0.033705,-0.00776,0.002216,-18.71,-3.5,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.028564,0.025975,-0.002589,0.003123,-9.06,-0.83,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.022768,0.016883,-0.005885,0.003343,-25.85,-1.76,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.017399,0.014195,-0.003204,0.001274,-18.42,-2.51,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.032263,0.032263,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-MU,1000,kernel_law_error,LAW-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.03374,0.03374,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
SYM-NL,1000,mean_quantile_rmse,MEANQ-A-COMMON199,cwdb_dr,K25M10,cwdb_dr_oracle,K25M10,10,0.107069,0.107069,0.0,0.0,0.0,0.0,cwdb_dr -> cwdb_dr_oracle
