grid,dgp,n_train,n_grid,n_particles,method,seed,metric,target_id,value,n_arm_rows,wall_seconds
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tcate_functional_rmse,TCATE-K-grid_skewness,2.219799462281177e-17,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.23770039551181596,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,arm_energy_risk,LAW-A-M-K,0.07464544259188138,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,barycenter_rmse,MEANQ-A-K,0.2767588650178126,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,diagnostic_effective_support,NONE_OPERATIONAL,88.56310589621407,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,kernel_law_error,LAW-A-COMMON199,0.06892652675094947,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,kernel_law_error,LAW-A-INTERIOR,0.05882542305913068,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,kernel_law_error,LAW-A-K,0.059283121125160036,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,mean_quantile_rmse,MEANQ-A-COMMON199,0.22539938017887787,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,mean_quantile_rmse,MEANQ-A-INTERIOR,0.22534218068804338,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,mean_quantile_rmse,MEANQ-A-K,0.2254001394969867,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,mode_coverage,LAW-A-K,1.0,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,peak_ram,NONE_OPERATIONAL,304.6211,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,process_peak_ram,NONE_OPERATIONAL,187.98828125,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,reference_effect_rmse,REF-ATE-COMMON199,0.038422236864928225,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,reference_effect_rmse,REF-ATE-K,0.0386157459724695,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,reference_tcate_rmse,REF-TCATE-COMMON199,0.065394391188316,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,reference_tcate_rmse,REF-TCATE-INTERIOR,0.06856200052705508,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,reference_tcate_rmse,REF-TCATE-K,0.0654788795041232,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,runtime,NONE_OPERATIONAL,20.86,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tail_calibration,LAW-A-K,0.05111964838025585,2,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-COMMON199-grid_mean,0.19948477716846097,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-COMMON199-grid_sd,0.0025724561074996744,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-COMMON199-grid_skewness,5.099240291157187e-18,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,0.19740961069551255,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-K-grid_mean,0.19948477716846097,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-K-grid_sd,0.0025815625192956494,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-K-grid_skewness,9.436442753186792e-18,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.19747934725336425,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-COMMON199-grid_mean,0.2052648258549008,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-COMMON199-grid_sd,0.005090834736908203,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,1.7809816136904413e-17,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-COMMON199-grid_upper_tail_mean,0.20249941950471662,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-K-grid_mean,0.20526482585490083,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-K-grid_sd,0.005108856127968845,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-K-grid_skewness,1.121695570852574e-17,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,1,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.20259161296882633,1,24.199615685000026
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,arm_energy_risk,LAW-A-M-K,0.07593796394378298,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,barycenter_rmse,MEANQ-A-K,0.2647631115382688,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,diagnostic_effective_support,NONE_OPERATIONAL,90.77382087383936,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,kernel_law_error,LAW-A-COMMON199,0.0692258333361704,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,kernel_law_error,LAW-A-INTERIOR,0.059060192156001376,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,kernel_law_error,LAW-A-K,0.059670682206824185,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,mean_quantile_rmse,MEANQ-A-COMMON199,0.22746330690785907,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,mean_quantile_rmse,MEANQ-A-INTERIOR,0.22745020894896714,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,mean_quantile_rmse,MEANQ-A-K,0.2274634807993727,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,mode_coverage,LAW-A-K,1.0,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,peak_ram,NONE_OPERATIONAL,305.1875,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,process_peak_ram,NONE_OPERATIONAL,187.97265625,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,reference_effect_rmse,REF-ATE-COMMON199,0.08386820027040202,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,reference_effect_rmse,REF-ATE-K,0.08391439841391664,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,reference_tcate_rmse,REF-TCATE-COMMON199,0.097295076210882,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,reference_tcate_rmse,REF-TCATE-INTERIOR,0.10066631173396998,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,reference_tcate_rmse,REF-TCATE-K,0.09759283188487217,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,runtime,NONE_OPERATIONAL,20.874,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tail_calibration,LAW-A-K,0.04420327900783806,2,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-COMMON199-grid_mean,0.16860713983979891,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-COMMON199-grid_sd,0.0019906610700655123,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-COMMON199-grid_skewness,1.0570738056776916e-17,1,24.255369351998525
