grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D0,reference_effect_rmse,cwdb_v0,0.026669667911396633,0.0017586616348584812,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,reference_effect_rmse,wdrft,0.00912542592938178,0.0012058197557390253,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,reference_effect_rmse,causal_drf,0.013021605024109522,0.0014861621117397774,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,reference_effect_rmse,pta_s,0.005768102208869934,0.0007689235489230339,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,tail_calibration,cwdb_v1,0.07161875,0.0019000672116148535,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,tail_calibration,cwdb_v0,0.07125000000000001,0.0020820508873310222,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,tail_calibration,wdrft,0.1435314546736695,0.0031652901841056555,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,tail_calibration,causal_drf,0.2089739046876539,0.003386078294827203,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,mode_coverage,cwdb_v1,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,mode_coverage,cwdb_v0,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,mode_coverage,wdrft,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,mode_coverage,causal_drf,1.0,0.0,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,barycenter_rmse,cwdb_v1,0.10272805883986988,0.0016068139880085796,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,barycenter_rmse,cwdb_v0,0.11228936916904213,0.0018033896441861004,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,barycenter_rmse,wdrft,0.18965574428538373,0.0024685724147319025,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,barycenter_rmse,causal_drf,0.28585980286288654,0.007799869597733042,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,barycenter_rmse,pta_s,0.05439048519013943,0.0013693549212137092,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mean_quantile_rmse,cwdb_v1,0.18993759274801542,0.00419888926964312,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mean_quantile_rmse,cwdb_v0,0.31040913622645905,0.005017973102080618,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mean_quantile_rmse,wdrft,0.16996281339385094,0.003822999278582594,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mean_quantile_rmse,causal_drf,0.18025639484372044,0.006495498786780233,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mean_quantile_rmse,pta_s,0.14268652166979204,0.003008818064172531,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,kernel_law_error,cwdb_v1,0.013264641772180188,0.00047928388551666016,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,kernel_law_error,cwdb_v0,0.016447998967124546,0.000528568487957857,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,kernel_law_error,wdrft,0.01234248216143961,0.0003121950540534984,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,kernel_law_error,causal_drf,0.02344743770253919,0.0010317165208241102,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,arm_energy_risk,cwdb_v1,0.062429414958839094,0.001966098368436328,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,arm_energy_risk,cwdb_v0,0.07824179526561012,0.0019466282945709609,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,arm_energy_risk,wdrft,0.03602764749197111,0.0008400125779542064,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,arm_energy_risk,causal_drf,0.06037739080553034,0.002160967260103759,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tcate_functional_rmse,cwdb_v1,0.06462917090990324,0.002406956819670564,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
