method,median_runtime_seconds,max_runtime_seconds,median_peak_ram_mb,n_cells,n_failed,failure_rate,merged_checksum,git_revision
causal_drf,1.1724999999999999,35.419,75.2,670,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
cwdb_v0,8.926992615997733,42.223302893995424,0.0,670,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
cwdb_v1,13.299349458495271,148.55111685999873,0.0,870,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
cwdb_v1_noshrink,26.151144971001486,32.21594406700751,0.0,40,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
pta_f,96.129688114499,112.75883894999424,0.0,200,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
pta_s,28.132983239996975,77.43147238899837,0.0,630,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
sqw2_booster,0.996173319999798,2.301980406999064,0.0,360,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
wdrft,1.3250000000000002,36.231,213.7,670,0,0.0,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
