grid,dgp,metric,claimant,comparator,n_seeds,claimant_mean,comparator_mean,paired_mean_difference,paired_standard_error,seed_win_fraction,claimant_wins,comparator_wins,merged_checksum,git_revision
main,D1,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.05751137066670327,0.05815751626629075,-0.0006461455995874808,0.0034698351767158643,0.5,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.0515414406852854,0.0687192492144309,-0.017177808529145498,0.0038152503886892323,0.85,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,cwdb_v1,causal_drf,20,0.023320300714573756,0.019397541938039598,0.00392275877653416,0.004802040363751007,0.5,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tail_calibration,cwdb_v1,causal_drf,20,0.09573655989930109,0.10855736353058779,-0.012820803631286671,0.002684413728079486,0.8,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,barycenter_rmse,cwdb_v1,causal_drf,20,0.1899708199034418,0.26339153811650523,-0.07342071821306348,0.0048853691140996304,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.12661229486874592,0.10320038203363446,0.023411912835111494,0.004730263639767134,0.2,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,kernel_law_error,cwdb_v1,causal_drf,20,0.009998470474662093,0.03178606399509836,-0.021787593520436275,0.0006994094966351615,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,arm_energy_risk,cwdb_v1,causal_drf,20,0.04688522285434511,0.07158207560147967,-0.02469685274713456,0.0012915036844388648,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.02919561136419479,0.04915727143480224,-0.019961660070607453,0.0027407946965783566,0.95,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
