state_fips,k,u_k,wage_q,wage_q_se
1,1,0.02,707.1015000000001,83.32508397229711
1,2,0.06,2626.3770000000004,249.85815919352663
1,3,0.1,5050.725,71.59367786155978
1,4,0.14,8081.160000000001,96.73993763760954
1,5,0.18,10808.551500000001,536.4416333863228
1,6,0.22,14142.03,266.73270794488616
1,7,0.26,17071.450500000003,440.4413552449107
1,8,0.3,20202.9,270.1075597855183
1,9,0.34,22021.161,432.1847981997525
1,10,0.38,24950.5815,675.2933845415929
1,11,0.42,27273.915,447.90214489879344
1,12,0.46,30304.350000000002,0.0
1,13,0.5,32324.640000000003,81.44049353155017
1,14,0.54,35355.075000000004,240.16796965230097
1,15,0.58,39395.655000000006,1155.9442804687958
1,16,0.62,42426.090000000004,468.88180542281225
1,17,0.66,45456.525,777.1205243423726
1,18,0.7,50507.25,0.0
1,19,0.74,54547.83,600.7479321714657
1,20,0.78,60608.700000000004,0.0
1,21,0.82,65659.425,0.0
1,22,0.86,75760.875,505.0724999999977
1,23,0.9,87882.615,2001.3822820254384
1,24,0.94,107075.37000000001,2529.9739400571343
1,25,0.98,165347.02738928545,5438.9802974828945
2,1,0.02,1212.174,147.99335173168294
2,2,0.06,3030.4350000000004,475.5603826584848
2,3,0.1,6060.870000000001,1327.0159120529684
2,4,0.14,10101.45,1123.9310298130272
2,5,0.18,15152.175000000001,1170.962961919966
2,6,0.22,18182.61,802.4033746361526
2,7,0.26,21516.0885,1512.398599193281
2,8,0.3,24243.480000000003,1220.5217421951395
2,9,0.34,28252.79360714286,1752.2988585522019
2,10,0.38,30304.350000000002,795.12577922122
2,11,0.42,34344.93,1350.3545674034824
2,12,0.46,38385.51,2120.0734260126014
2,13,0.5,40405.8,1250.2576589699775
2,14,0.54,45456.525,1233.2353404788964
2,15,0.58,50507.25,1123.2552394356253
2,16,0.62,53537.685000000005,1989.4940722668186
2,17,0.66,60608.700000000004,3066.2740188304824
2,18,0.7,63639.135,2277.912057227582
2,19,0.74,69700.005,2101.429689391754
2,20,0.78,75760.875,2047.6645314666534
2,21,0.82,80811.6,0.0
2,22,0.86,89902.90500000001,3401.33537656719
2,23,0.9,101014.5,2094.477360767513
2,24,0.94,121217.40000000001,2533.2520349106035
2,25,0.98,187791.3595679013,14838.104245301192
4,1,0.02,909.1305000000001,70.79596862204939
4,2,0.06,3232.4640000000004,276.2415770414253
4,3,0.1,6060.870000000001,24.071991680554344
4,4,0.14,9697.392,502.51110315295347
4,5,0.18,12121.740000000002,179.2829523749744
4,6,0.22,15152.175000000001,542.8430510581775
4,7,0.26,19192.755,445.6203792131783
4,8,0.3,21213.045000000002,375.8843235391661
4,9,0.34,24243.480000000003,0.0
4,10,0.38,26263.77,166.15604646782293
4,11,0.42,30304.350000000002,187.6261063268184
4,12,0.46,31516.524,552.7127959949055
4,13,0.5,35355.075000000004,0.0
4,14,0.54,38385.51,588.9450455670452
4,15,0.58,40405.8,0.0
4,16,0.62,45456.525,912.9253137333931
4,17,0.66,48486.96000000001,525.4682554651714
4,18,0.7,51854.10999999764,1287.6993848733805
4,19,0.74,58588.41,714.2803794816854
4,20,0.78,64649.280000000006,1257.6203829410365
4,21,0.82,71720.295,1654.15229472149
4,22,0.86,80811.6,0.0
4,23,0.9,98994.21,1614.958797582052
4,24,0.94,121217.40000000001,0.0
4,25,0.98,191927.55000000002,6662.6778731100185
5,1,0.02,899.0290500000001,69.4203246285139
5,2,0.06,3030.4350000000004,45.1750577426305
5,3,0.1,5757.8265,266.1126632073031
5,4,0.14,8586.2325,571.9131132026181
5,5,0.18,12121.740000000002,561.6571146940436
5,6,0.22,15152.175000000001,847.5686650111288
5,7,0.26,17172.465,912.9883942639427
5,8,0.3,20202.9,45.175057742630194
5,9,0.34,21718.1175,809.0330782046645
5,10,0.38,24243.480000000003,108.45924359037976
5,11,0.42,26263.77,488.52370761243213
5,12,0.46,29294.205,524.5601131461739
5,13,0.5,30304.350000000002,168.02834011816975
5,14,0.54,33940.872,810.3851484585527
5,15,0.58,36365.22,225.33296693112456
5,16,0.62,40405.8,339.9727032995948
5,17,0.66,42426.090000000004,885.6792675925125
5,18,0.7,46264.641,1205.0417623462904
5,19,0.74,50507.25,0.0
5,20,0.78,55557.975000000006,225.87528871315342
5,21,0.82,60608.700000000004,0.0
5,22,0.86,68689.86,1436.2740074610444
5,23,0.9,80811.6,505.2457481678717
5,24,0.94,101014.5,0.0
5,25,0.98,161623.2,8649.758698315582
6,1,0.02,1010.1450000000001,115.17425047867675
6,2,0.06,4040.5800000000004,22.5875288713152
6,3,0.1,7374.0585,234.91362592599003
6,4,0.14,10606.522500000001,292.76783526559046
6,5,0.18,14142.03,0.0
6,6,0.22,17677.537500000002,306.58949933619044
6,7,0.26,20202.9,0.0
6,8,0.3,24243.480000000003,199.4876535527332
6,9,0.34,25253.625,300.50752654586483
6,10,0.38,30304.350000000002,22.587528871315506
6,11,0.42,32021.596500000003,562.0384366881624
6,12,0.46,35355.075000000004,0.0
6,13,0.5,40405.8,0.0
6,14,0.54,43436.235,45.17505774263101
6,15,0.58,48486.96000000001,205.78218149912064
6,16,0.62,52527.54,0.0
6,17,0.66,60608.700000000004,0.0
6,18,0.7,65659.425,0.0
6,19,0.74,73740.585,1024.6056369259873
6,20,0.78,80811.6,0.0
6,21,0.82,93943.485,958.3076901092293
6,22,0.86,106065.225,1083.2598299479014
6,23,0.9,126268.12500000001,0.0
6,24,0.94,161623.2,1705.3210328032824
6,25,0.98,252536.25000000003,1581.1270209920597
8,1,0.02,1010.1450000000001,0.0
8,2,0.06,3535.5075,192.71111306636502
