year,state_fips,k,u_k,earnwke_q
2010,9,20,0.78,1442.0
2010,9,21,0.82,1557.69
2010,9,22,0.86,1750.0
2010,9,23,0.9,2000.0
2010,9,24,0.94,2500.0
2010,9,25,0.98,2884.61
2010,10,1,0.02,90.0
2010,10,2,0.06,172.77049203721802
2010,10,3,0.1,230.975444977496
2010,10,4,0.14,300.0
2010,10,5,0.18,330.9696057799528
2010,10,6,0.22,380.0
2010,10,7,0.26,407.8246602476262
2010,10,8,0.3,467.4924980790209
2010,10,9,0.34,500.0
2010,10,10,0.38,550.0
2010,10,11,0.42,600.0
2010,10,12,0.46,640.0
2010,10,13,0.5,692.0
2010,10,14,0.54,736.2695757881768
2010,10,15,0.58,788.46
2010,10,16,0.62,865.0
2010,10,17,0.66,936.0850260990368
2010,10,18,0.7,1000.0
2010,10,19,0.74,1050.2171889576844
2010,10,20,0.78,1153.2249689898713
2010,10,21,0.82,1250.0
2010,10,22,0.86,1384.61
2010,10,23,0.9,1600.0
2010,10,24,0.94,1923.07
2010,10,25,0.98,2744.645609449034
2010,11,1,0.02,101.99850496128106
2010,11,2,0.06,248.12635858302363
2010,11,3,0.1,349.48869432729924
2010,11,4,0.14,413.2
2010,11,5,0.18,480.76
2010,11,6,0.22,550.0
2010,11,7,0.26,577.254323143163
2010,11,8,0.3,640.0
2010,11,9,0.34,685.5460764790737
2010,11,10,0.38,769.23
2010,11,11,0.42,828.2416190401202
2010,11,12,0.46,894.5272665579856
2010,11,13,0.5,961.53
2010,11,14,0.54,1000.0
2010,11,15,0.58,1104.8985718211743
2010,11,16,0.62,1162.5
2010,11,17,0.66,1250.0
2010,11,18,0.7,1346.15
2010,11,19,0.74,1480.76
2010,11,20,0.78,1646.5418492550903
2010,11,21,0.82,1846.15
2010,11,22,0.86,2019.23
2010,11,23,0.9,2403.84
2010,11,24,0.94,2884.61
2010,11,25,0.98,2884.61
2010,12,1,0.02,100.0
2010,12,2,0.06,191.78466980953843
2010,12,3,0.1,245.0
2010,12,4,0.14,300.0
2010,12,5,0.18,330.0
2010,12,6,0.22,369.5220437027881
2010,12,7,0.26,400.0
2010,12,8,0.3,440.0
2010,12,9,0.34,480.0
2010,12,10,0.38,512.0045381084868
2010,12,11,0.42,560.0
2010,12,12,0.46,600.0
2010,12,13,0.5,636.0
2010,12,14,0.54,675.0
2010,12,15,0.58,730.76
2010,12,16,0.62,769.23
2010,12,17,0.66,830.6301241323096
2010,12,18,0.7,906.4548535872956
2010,12,19,0.74,979.9368337125874
2010,12,20,0.78,1057.69
2010,12,21,0.82,1160.0
2010,12,22,0.86,1346.0
2010,12,23,0.9,1538.0
2010,12,24,0.94,1923.0
2010,12,25,0.98,2884.61
2010,13,1,0.02,108.75
2010,13,2,0.06,180.0
2010,13,3,0.1,240.0
2010,13,4,0.14,290.0
2010,13,5,0.18,323.05130723512656
2010,13,6,0.22,360.0
2010,13,7,0.26,400.0
2010,13,8,0.3,436.76027957808566
2010,13,9,0.34,480.0
2010,13,10,0.38,510.0
2010,13,11,0.42,560.0
2010,13,12,0.46,600.0
2010,13,13,0.5,640.1552060450646
2010,13,14,0.54,685.2499007828353
2010,13,15,0.58,750.0
2010,13,16,0.62,800.0
2010,13,17,0.66,865.38
2010,13,18,0.7,961.0
2010,13,19,0.74,1000.0
2010,13,20,0.78,1115.0
2010,13,21,0.82,1211.0
2010,13,22,0.86,1388.1381383537382
2010,13,23,0.9,1609.5964984631082
2010,13,24,0.94,1923.07
2010,13,25,0.98,2884.61
2010,15,1,0.02,90.02071443141563
2010,15,2,0.06,174.0
2010,15,3,0.1,230.0
2010,15,4,0.14,285.0636093660017
2010,15,5,0.18,326.4277447903134
2010,15,6,0.22,366.3517213537361
2010,15,7,0.26,400.0
2010,15,8,0.3,450.0
2010,15,9,0.34,484.4650472087184
2010,15,10,0.38,520.0
2010,15,11,0.42,560.0
2010,15,12,0.46,600.0
2010,15,13,0.5,635.7490070368062
2010,15,14,0.54,673.07
2010,15,15,0.58,727.0482187257194
2010,15,16,0.62,769.23
2010,15,17,0.66,828.0
2010,15,18,0.7,900.0
2010,15,19,0.74,970.8823270615068
2010,15,20,0.78,1050.0
2010,15,21,0.82,1153.84
2010,15,22,0.86,1250.0
2010,15,23,0.9,1442.3
2010,15,24,0.94,1800.0
2010,15,25,0.98,2634.136072677801
2010,16,1,0.02,59.55669456340613
2010,16,2,0.06,120.0
2010,16,3,0.1,173.05851521562926
2010,16,4,0.14,230.76
2010,16,5,0.18,271.90765625969766
2010,16,6,0.22,315.0
2010,16,7,0.26,359.49498790315994
2010,16,8,0.3,400.0
2010,16,9,0.34,420.0
2010,16,10,0.38,461.53
2010,16,11,0.42,500.0
2010,16,12,0.46,528.6083163847935
2010,16,13,0.5,576.4022036694478
2010,16,14,0.54,600.0
2010,16,15,0.58,647.1813834762985
2010,16,16,0.62,700.0
2010,16,17,0.66,768.5353536529917
2010,16,18,0.7,826.6062032701518
2010,16,19,0.74,912.584748635625
2010,16,20,0.78,1000.0
2010,16,21,0.82,1076.5103530259098
2010,16,22,0.86,1211.53
2010,16,23,0.9,1382.2073204637543
2010,16,24,0.94,1687.9862877800608
2010,16,25,0.98,2461.3820136718905
2010,17,1,0.02,96.0
2010,17,2,0.06,156.5023809549228
2010,17,3,0.1,200.0
2010,17,4,0.14,255.0
2010,17,5,0.18,307.69
2010,17,6,0.22,346.15
2010,17,7,0.26,384.61
2010,17,8,0.3,416.0
2010,17,9,0.34,461.53
2010,17,10,0.38,500.0
2010,17,11,0.42,550.0
2010,17,12,0.46,600.0
2010,17,13,0.5,653.0
2010,17,14,0.54,700.0
2010,17,15,0.58,769.0
2010,17,16,0.62,826.0
2010,17,17,0.66,900.0
2010,17,18,0.7,961.53
2010,17,19,0.74,1050.0
2010,17,20,0.78,1153.0
2010,17,21,0.82,1250.0
2010,17,22,0.86,1415.1296678944188
2010,17,23,0.9,1680.0
2010,17,24,0.94,2019.23
2010,17,25,0.98,2884.61
2010,18,1,0.02,83.80336252705777
2010,18,2,0.06,160.0
2010,18,3,0.1,217.5
2010,18,4,0.14,269.13806418625006
2010,18,5,0.18,304.0
2010,18,6,0.22,340.3464449320144
2010,18,7,0.26,380.0
2010,18,8,0.3,405.125384313895
2010,18,9,0.34,456.0
2010,18,10,0.38,500.0
2010,18,11,0.42,520.0
2010,18,12,0.46,562.5
2010,18,13,0.5,600.0
2010,18,14,0.54,635.3501549466288
2010,18,15,0.58,700.0
2010,18,16,0.62,750.0
2010,18,17,0.66,807.0
2010,18,18,0.7,877.3102720736807
2010,18,19,0.74,950.0
2010,18,20,0.78,1000.0
2010,18,21,0.82,1100.0
2010,18,22,0.86,1200.0
2010,18,23,0.9,1384.2521646142293
2010,18,24,0.94,1664.936193300433
2010,18,25,0.98,2409.7822851522087
2010,19,1,0.02,66.05678993215419
2010,19,2,0.06,133.23942268209265
2010,19,3,0.1,181.25
2010,19,4,0.14,247.62531427395595
2010,19,5,0.18,290.0
2010,19,6,0.22,332.8363190434337
2010,19,7,0.26,370.2227165726571
2010,19,8,0.3,400.0
2010,19,9,0.34,450.0
2010,19,10,0.38,480.76
2010,19,11,0.42,520.0
2010,19,12,0.46,560.0
2010,19,13,0.5,600.0
