state_fips,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
1,707.1015000000001,2626.3770000000004,5050.725,8081.160000000001,10808.551500000001,14142.03,17071.450500000003,20202.9,22021.161,24950.5815,27273.915,30304.350000000002,32324.640000000003,35355.075000000004,39395.655000000006,42426.090000000004,45456.525,50507.25,54547.83,60608.700000000004,65659.425,75760.875,87882.615,107075.37000000001,165347.02738928545
2,1212.174,3030.4350000000004,6060.870000000001,10101.45,15152.175000000001,18182.61,21516.0885,24243.480000000003,28252.79360714286,30304.350000000002,34344.93,38385.51,40405.8,45456.525,50507.25,53537.685000000005,60608.700000000004,63639.135,69700.005,75760.875,80811.6,89902.90500000001,101014.5,121217.40000000001,187791.3595679013
4,909.1305000000001,3232.4640000000004,6060.870000000001,9697.392,12121.740000000002,15152.175000000001,19192.755,21213.045000000002,24243.480000000003,26263.77,30304.350000000002,31516.524,35355.075000000004,38385.51,40405.8,45456.525,48486.96000000001,51854.10999999764,58588.41,64649.280000000006,71720.295,80811.6,98994.21,121217.40000000001,191927.55000000002
5,899.0290500000001,3030.4350000000004,5757.8265,8586.2325,12121.740000000002,15152.175000000001,17172.465,20202.9,21718.1175,24243.480000000003,26263.77,29294.205,30304.350000000002,33940.872,36365.22,40405.8,42426.090000000004,46264.641,50507.25,55557.975000000006,60608.700000000004,68689.86,80811.6,101014.5,161623.2
6,1010.1450000000001,4040.5800000000004,7374.0585,10606.522500000001,14142.03,17677.537500000002,20202.9,24243.480000000003,25253.625,30304.350000000002,32021.596500000003,35355.075000000004,40405.8,43436.235,48486.96000000001,52527.54,60608.700000000004,65659.425,73740.585,80811.6,93943.485,106065.225,126268.12500000001,161623.2,252536.25000000003
8,1010.1450000000001,3535.5075,6060.870000000001,10101.45,13131.885,17172.465,20202.9,24243.480000000003,28284.06,30304.350000000002,35355.075000000004,38284.495500000005,40405.8,45456.525,50507.25,52527.54,58588.41,63639.135,70710.15000000001,75760.875,85862.32500000001,98994.21,114146.38500000001,141420.30000000002,222231.90000000002
9,1010.1450000000001,3030.4350000000004,5050.725,8485.218,12121.740000000002,15152.175000000001,20202.9,23687.526122222225,27273.915,30304.350000000002,35355.075000000004,40405.8,43436.235,48486.96000000001,51517.395000000004,58588.41,62628.990000000005,70710.15000000001,75760.875,83842.035,91923.195,101014.5,126268.12500000001,161623.2,303043.5
10,1010.1450000000001,3030.4350000000004,5230.9797633333355,8393.70986457921,12121.740000000002,15152.175000000001,20202.9,23233.335000000003,26263.77,30304.350000000002,31516.524,35355.075000000004,40344.93228846155,41415.945,45456.525,50507.25,55557.975000000006,60608.700000000004,65659.425,72730.44,80811.6,90913.05,102187.9935165289,126268.12500000001,186876.825
11,814.977855564706,3030.4350000000004,6565.9425,12121.740000000002,20002.27641913044,25253.625,30304.350000000002,36365.22,40405.8,47972.668475517254,50507.25,58588.41,64649.280000000006,70710.15000000001,75760.875,80811.6,90913.05,97984.065,104044.93500000001,117176.82,129298.56000000001,146471.02500000002,161623.2,194957.98500000002,303043.5
12,1212.174,4040.5800000000004,7273.044000000001,10101.45,13131.885,15758.262,18788.697,20202.9,23435.364,25253.625,28284.06,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,40405.8,45456.525,50507.25,54547.83,60608.700000000004,66669.57,76771.02,90913.05,116166.675,202029.0
