state_fips,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
13,909.1305000000001,3131.4495,6060.870000000001,10101.45,12626.8125,15758.262,19394.784,21213.045000000002,24243.480000000003,26768.842500000002,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,40405.8,45456.525,50507.25,55557.975000000006,60608.700000000004,66669.57,75760.875,85862.32500000001,101014.5,126268.12500000001,202029.0
15,1212.174,4646.667,8081.160000000001,12121.740000000002,15960.291000000001,20202.9,23233.335000000003,25253.625,29824.030394097426,30515.244507882366,34344.93,37375.365000000005,40405.8,45254.49600000001,48486.96000000001,50507.25,55557.975000000006,60608.700000000004,65659.425,70710.15000000001,80811.6,87882.615,101014.5,120207.255,157834.5377938776
16,679.0131948074537,2020.2900000000002,4040.5800000000004,6565.9425,9697.392,12121.740000000002,15152.175000000001,18182.61,20202.9,24243.480000000003,26263.77,30304.350000000002,31516.524,35355.075000000004,37375.365000000005,40405.8,45456.525,49497.105,52527.54,60608.700000000004,65659.425,75760.875,88281.492769231,107075.37000000001,156572.475
17,1010.1450000000001,3535.5075,6060.870000000001,10101.45,13030.8705,16566.378,20202.9,23233.335000000003,26061.741,30304.350000000002,32324.640000000003,35355.075000000004,40405.8,42426.090000000004,47981.887500000004,50507.25,55557.975000000006,60608.700000000004,68689.86,75760.875,83842.035,95963.77500000001,111115.95000000001,138389.86500000002,227282.62500000003
18,909.1305000000001,2727.3915,5050.725,8081.160000000001,11111.595000000001,15051.160500000002,18182.61,20202.9,24243.480000000003,26263.77,30304.350000000002,31314.495000000003,35355.075000000004,37375.365000000005,40405.8,43436.235,47476.815,50507.25,55557.975000000006,60608.700000000004,68689.86,75760.875,89902.90500000001,107075.37000000001,165663.78
19,1010.1450000000001,3030.4350000000004,5050.725,8060.808912469446,11111.595000000001,14142.03,18182.61,21213.045000000002,25253.625,28284.06,30304.350000000002,33334.785,36365.22,40405.8,42426.090000000004,45456.525,50507.25,52527.54,56568.12,60608.700000000004,68689.86,75760.875,85862.32500000001,103034.79000000001,161623.2
20,888.9276000000001,2525.3625,5050.725,8081.160000000001,11111.595000000001,14142.03,17475.5085,20202.9,24243.480000000003,26263.77,30304.350000000002,32324.640000000003,35355.075000000004,39395.655000000006,41415.945,45456.525,49497.105,52527.54,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,90913.05,111115.95000000001,181826.1
21,899.0290500000001,2828.4060000000004,5050.725,8081.160000000001,10303.479000000001,13434.928500000002,16162.320000000002,20202.9,22223.190000000002,25253.625,28183.0455,30304.350000000002,33334.785,35860.1475,40405.8,42426.090000000004,45456.525,50507.25,53537.685000000005,60608.700000000004,65659.425,72730.44,81821.74500000001,101014.5,154552.185
22,707.1015000000001,3030.4350000000004,5353.7685,8485.218,11111.595000000001,13737.972000000002,16162.320000000002,19697.827500000003,21314.059500000003,24748.5525,27273.915,30304.350000000002,33334.785,36365.22,40405.8,44446.380000000005,48486.96000000001,50507.25,56568.12,62628.990000000005,70710.15000000001,80811.6,92933.34000000001,119197.11000000002,176245.213677927
23,868.7247000000001,3030.4350000000004,5050.725,8081.160000000001,11111.595000000001,15152.175000000001,18485.6535,21213.045000000002,24445.509000000002,27273.915,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,40405.8,43739.2785,47036.332359705906,50507.25,55557.975000000006,60608.700000000004,66669.57,75760.875,84852.18000000001,103094.67716785702,172624.650343269
24,979.8406500000001,3131.4495,6767.971500000001,10505.508000000002,15152.175000000001,20202.9,23233.335000000003,27071.886000000002,30304.350000000002,35031.40770624999,38385.51,41533.55473928583,46466.670000000006,50507.25,55557.975000000006,60608.700000000004,65659.425,72730.44,80811.6,88892.76000000001,98994.21,109095.66,126268.12500000001,151521.75,227282.62500000003
25,1010.1450000000001,3030.4350000000004,5656.812000000001,9394.3485,13131.885,18182.61,22223.190000000002,25655.76028082386,30304.350000000002,34344.93,38385.51,41415.945,46466.670000000006,50507.25,55557.975000000006,60608.700000000004,66522.3774428592,72730.44,80811.6,89902.90500000001,101014.5,111115.95000000001,131318.85,161623.2,262637.7
26,808.1160000000001,2828.4060000000004,5050.725,7677.102000000001,10101.45,13131.885,16162.320000000002,20202.9,22223.190000000002,25253.625,29092.176000000003,30304.350000000002,35355.075000000004,38385.51,40405.8,45456.525,50507.25,55557.975000000006,60608.700000000004,65659.425,73740.585,82831.89,98994.21,121217.40000000001,186876.825
27,1010.1450000000001,3434.4930000000004,6060.870000000001,10101.45,13131.885,18182.61,21213.045000000002,25253.625,30304.350000000002,32324.640000000003,35355.075000000004,39900.7275,41415.945,45456.525,50507.25,52527.54,58588.41,61618.845,69700.005,75760.875,81821.74500000001,90913.05,106065.225,132328.995,211498.02440444435
28,808.1160000000001,3030.4350000000004,5050.725,7778.116500000001,10101.45,12767.689464431814,15152.175000000001,18182.61,20202.9,22223.190000000002,25253.625,26566.8135,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,41415.945,45456.525,50507.25,54547.83,60608.700000000004,67679.71500000001,80811.6,98994.21,141420.30000000002
29,1010.1450000000001,3030.4350000000004,5757.8265,8889.276,12121.740000000002,15152.175000000001,18182.61,20202.9,24243.480000000003,26566.8135,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,40405.8,45456.525,49194.0615,52359.611436305626,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,90913.05,111115.95000000001,176775.375
30,899.0290500000001,2323.3335,4040.5800000000004,6060.870000000001,9091.305,11616.667500000001,14142.03,18182.61,20202.9,23233.335000000003,25253.625,29294.205,31516.524,35355.075000000004,38789.568,40405.8,45456.525,50507.25,53537.685000000005,60608.700000000004,65659.425,72730.44,81821.74500000001,101014.5,161623.2
31,1010.1450000000001,3030.4350000000004,5050.725,9091.305,12121.740000000002,15152.175000000001,20202.9,22425.219,25253.625,29294.205,30304.350000000002,34103.36103857144,36365.22,40405.8,41415.945,45456.525,50507.25,52527.54,56568.12,60608.700000000004,68689.86,75760.875,86872.47,106065.225,157582.62000000002
32,1010.1450000000001,4444.638,8081.160000000001,11313.624000000002,14699.040174306565,18012.359615675683,20202.9,23233.335000000003,25253.625,28284.06,30304.350000000002,32728.698000000004,35355.075000000004,38385.51,40405.8,43638.264,48142.00538588244,50507.25,56568.12,61618.845,70710.15000000001,80811.6,90913.05,114146.38500000001,173261.16244864737
33,879.3358140681818,2828.4060000000004,5050.725,9647.192929830513,13131.885,18182.61,21680.418689556656,25253.625,29092.176000000003,31011.451500000003,35355.075000000004,39395.655000000006,41745.788265306124,45456.525,50507.25,55557.975000000006,60608.700000000004,64649.280000000006,70710.15000000001,75760.875,85862.32500000001,95963.77500000001,111115.95000000001,141420.30000000002,202029.0
34,1010.1450000000001,3535.5075,6868.986000000001,10101.45,15152.175000000001,19192.755,22223.190000000002,25758.697500000002,30304.350000000002,33334.785,37375.365000000005,40405.8,46062.612,50507.25,55557.975000000006,60608.700000000004,66669.57,74750.73000000001,80811.6,90913.05,101014.5,116166.675,136369.575,176775.375,301023.21
35,808.1160000000001,3030.4350000000004,5050.725,7576.087500000001,10101.45,12121.740000000002,15152.175000000001,18182.61,20202.9,23233.335000000003,25253.625,28284.06,30304.350000000002,34344.93,37375.365000000005,40405.8,45456.525,50507.25,53537.685000000005,60608.700000000004,65659.425,75760.875,85862.32500000001,111115.95000000001,151521.75
36,1010.1450000000001,3636.5220000000004,6970.0005,10101.45,14546.088000000002,18182.61,21011.016000000003,25253.625,28284.06,30304.350000000002,35355.075000000004,39395.655000000006,42325.075500000006,46466.670000000006,50507.25,55557.975000000006,60608.700000000004,68689.86,75760.875,80811.6,90913.05,101014.5,121217.40000000001,157582.62000000002,287891.325
37,855.070007129771,3030.4350000000004,5050.725,8687.247000000001,12121.740000000002,15152.175000000001,18182.61,20202.9,23738.4075,25253.625,29193.1905,30304.350000000002,34850.0025,37072.321500000005,40405.8,43436.235,47476.815,50507.25,55557.975000000006,60608.700000000004,70710.15000000001,80811.6,95963.77500000001,121217.40000000001,196978.27500000002
38,1212.174,3636.5220000000004,6060.870000000001,9091.305,11111.595000000001,15152.175000000001,20202.9,23233.335000000003,25253.625,28995.650679826773,30304.350000000002,35355.075000000004,37375.365000000005,40405.8,43436.235,46466.670000000006,50507.25,53537.685000000005,60608.700000000004,62628.990000000005,68689.86,75760.875,90913.05,111115.95000000001,181676.11914915184
39,909.1305000000001,3030.4350000000004,5050.725,8081.160000000001,11111.595000000001,15152.175000000001,18182.61,20202.9,24243.480000000003,26394.595127443805,30304.350000000002,32324.640000000003,35355.075000000004,39294.6405,41415.945,45456.525,50507.25,53537.685000000005,60608.700000000004,65659.425,70710.15000000001,80811.6,91923.195,111115.95000000001,176775.375
40,951.9855736558444,3030.4350000000004,6060.870000000001,9091.305,12121.740000000002,15152.175000000001,18182.61,20202.9,23233.335000000003,25253.625,28284.06,30304.350000000002,33334.785,36365.22,40405.8,42426.090000000004,46466.670000000006,50507.25,55557.975000000006,60608.700000000004,66669.57,75760.875,86647.48315909137,106065.225,176775.375
41,1010.1450000000001,3030.4350000000004,6060.870000000001,9596.3775,12121.740000000002,16051.957378474557,20000.871000000003,22223.190000000002,25253.625,28284.06,30304.350000000002,33334.785,36365.22,40405.8,43436.235,48284.931000000004,50507.25,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,88892.76000000001,101014.5,124247.835,202029.0
42,878.3274015888326,2525.3625,5050.725,8081.160000000001,11616.667500000001,15152.175000000001,19192.755,22223.190000000002,25253.625,29092.176000000003,30304.350000000002,35355.075000000004,38385.51,40405.8,45456.525,50507.25,52527.54,58588.41,62628.990000000005,70710.15000000001,76771.02,86872.47,101014.5,123237.69,202029.0
44,724.8323286141734,3030.4350000000004,5050.725,7879.131,12121.740000000002,15152.175000000001,19596.813000000002,23233.335000000003,25253.625,30304.350000000002,33119.230604698794,35355.075000000004,39395.655000000006,41415.945,45456.525,50507.25,55557.975000000006,60608.700000000004,64649.280000000006,70710.15000000001,77422.97946705844,85862.32500000001,98994.21,121217.40000000001,185347.08666562545
45,909.1305000000001,3030.4350000000004,5252.754000000001,8081.160000000001,11212.6095,15059.835862941174,17576.523,20202.9,23233.335000000003,25253.625,28284.06,30304.350000000002,33637.8285,36365.22,40405.8,42426.090000000004,45456.525,50507.25,55557.975000000006,60608.700000000004,66669.57,75760.875,89902.90500000001,111115.95000000001,176775.375
46,1010.1450000000001,3333.4785,5050.725,8081.160000000001,11111.595000000001,15152.175000000001,20202.9,22223.190000000002,25253.625,27273.915,30304.350000000002,31314.495000000003,35355.075000000004,37880.4375,40405.8,42426.090000000004,45456.525,50507.25,52527.54,57578.26500000001,60610.60593396212,70710.15000000001,80811.6,101014.5,161623.2
47,909.1305000000001,3030.4350000000004,5757.8265,9091.305,12121.740000000002,15152.175000000001,18182.61,20202.9,24243.480000000003,25253.625,29092.176000000003,30304.350000000002,33637.8285,36365.22,40405.8,42426.090000000004,46264.641,50507.25,55557.975000000006,60608.700000000004,65659.425,75760.875,90913.05,113136.24,181826.1
48,1010.1450000000001,3333.4785,6060.870000000001,9798.406500000001,12121.740000000002,15152.175000000001,18182.61,20606.958000000002,24243.480000000003,26263.77,30304.350000000002,32324.640000000003,35355.075000000004,39799.713,42426.090000000004,47476.815,50507.25,55557.975000000006,60608.700000000004,67679.71500000001,75760.875,86872.47,101014.5,129298.56000000001,202029.0
49,707.1015000000001,2525.3625,5050.725,7071.015,10101.45,12121.740000000002,15152.175000000001,19672.00819379999,22223.190000000002,25253.625,28284.06,30304.350000000002,34344.93,37375.365000000005,40405.8,45456.525,50507.25,53537.685000000005,60608.700000000004,65659.425,72730.44,80811.6,97984.065,121217.40000000001,202029.0
50,659.9954676352942,2020.2900000000002,3636.5220000000004,5050.725,8081.160000000001,12121.740000000002,16162.320000000002,20202.9,24243.480000000003,27273.915,30304.350000000002,32370.678123636386,36365.22,40405.8,42426.090000000004,45456.525,50507.25,52527.54,58425.54794292453,62628.990000000005,70710.15000000001,75760.875,87882.615,103771.9713733329,151521.75
51,909.1305000000001,3030.4350000000004,5656.812000000001,9899.421,13131.885,16970.436,20202.9,24243.480000000003,26263.77,30304.350000000002,33334.785,36870.2925,40405.8,45456.525,50002.177500000005,53537.685000000005,60608.700000000004,65659.425,71720.295,80811.6,90913.05,102024.645,121217.40000000001,151521.75,217181.17500000002
53,1010.1450000000001,4040.5800000000004,7273.044000000001,11111.595000000001,15152.175000000001,20202.9,23233.335000000003,25354.6395,30304.350000000002,32324.640000000003,35355.075000000004,40405.8,42426.090000000004,47274.786,50507.25,56568.12,60608.700000000004,68689.86,75760.875,82831.89,93943.485,104044.93500000001,123237.69,151521.75,242434.80000000002
54,726.4620944769232,3030.4350000000004,5353.7685,8081.160000000001,11111.595000000001,14142.03,16619.03180812501,20202.9,22223.190000000002,25253.625,26263.77,29294.205,31314.495000000003,35355.075000000004,37877.34138993806,40405.8,45456.525,50507.25,52527.54,60608.700000000004,65659.425,73740.585,83842.035,101014.5,150337.40652550998
55,1010.1450000000001,3232.4640000000004,5757.8265,9091.305,12121.740000000002,16162.320000000002,20202.9,23233.335000000003,26162.755500000003,30304.350000000002,32324.640000000003,35355.075000000004,38385.51,40405.8,44953.51164173078,48486.96000000001,50507.25,55557.975000000006,60608.700000000004,65659.425,70710.15000000001,79801.455,90913.05,107191.73345649247,171724.65000000002
56,1010.1450000000001,2525.3625,4863.49579883721,7071.015,10101.45,13131.885,17172.465,20202.9,24243.480000000003,26263.77,30304.350000000002,32324.640000000003,35567.35184782609,38981.68279639025,42426.090000000004,47476.815,50507.25,54547.83,60608.700000000004,65659.425,70710.15000000001,80811.6,92804.26591666718,108085.51500000001,151521.75
