year,state_fips,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
2010,1,85.29017240534712,160.0,218.4716146961423,270.0,300.0,340.0,375.193835081634,400.0,420.0,461.53,500.0,523.8981171699437,570.0,600.0,673.07,719.7689181189734,780.0320558435697,855.7107042757096,900.0,961.0,1019.1538206185862,1153.84,1269.1074906578722,1623.4339843633898,2195.209037623119
2010,2,75.0,169.89384988840757,250.0,319.1986374017576,370.0,410.0,461.0,500.0,550.0,588.8547309895847,611.9799216671618,673.2674382657505,720.0,775.2,845.6190448816402,900.0,961.0,1021.7956107964596,1134.479399012727,1236.5207399946996,1384.61,1536.456692536129,1826.92,2202.9399824835355,2884.61
2010,4,100.0,193.0,248.4369278707883,300.0,338.79186425282217,380.0,400.0,440.0,480.0,520.0,560.0,600.0,640.0,692.0,750.0,785.4140261883605,840.0,909.0,979.4260071631921,1091.4652070535526,1211.53,1390.8456095897675,1606.5015377702748,1923.07,2884.5946171802593
2010,5,96.01579706247227,159.366859712904,226.23635062398247,280.0,307.69,346.6086664531149,370.0,400.0,410.0,450.0,480.0,509.0821713989671,550.0,576.92,604.6420300603514,646.15,700.0,760.0,807.6176849061337,880.0,961.53,1057.0,1200.0,1418.2377546223431,1950.4799147624794
2010,6,96.0,167.51227253124026,230.0,280.4509450600945,320.0,352.938842089234,397.4161764426285,430.0,480.0,513.4845438218066,570.0,600.0,673.07,730.0,800.0,865.38,961.0,1038.46,1153.0,1260.0,1439.694660781092,1616.0,1923.0,2307.69,2884.61
2010,8,96.0,170.0,250.0,300.0,350.0,384.67274526937155,431.6013045752364,480.0,520.0,576.0,606.6059825185611,673.07,715.38,769.23,826.92,884.61,961.53,1019.23,1153.0,1250.0,1400.0,1538.46,1826.92,2253.3376159377426,2884.61
2010,9,90.0,165.0,225.0,289.1181200671128,350.0,400.0,452.1857456275563,500.0,576.0,615.0,673.07,738.1683373441755,800.0,865.38,961.0,1010.0,1115.38,1192.0,1300.0,1442.0,1557.69,1750.0,2000.0,2500.0,2884.61
2010,10,90.0,172.77049203721802,230.975444977496,300.0,330.9696057799528,380.0,407.8246602476262,467.4924980790209,500.0,550.0,600.0,640.0,692.0,736.2695757881768,788.46,865.0,936.0850260990368,1000.0,1050.2171889576844,1153.2249689898713,1250.0,1384.61,1600.0,1923.07,2744.645609449034
2010,11,101.99850496128106,248.12635858302363,349.48869432729924,413.2,480.76,550.0,577.254323143163,640.0,685.5460764790737,769.23,828.2416190401202,894.5272665579856,961.53,1000.0,1104.8985718211743,1162.5,1250.0,1346.15,1480.76,1646.5418492550903,1846.15,2019.23,2403.84,2884.61,2884.61
2010,12,100.0,191.78466980953843,245.0,300.0,330.0,369.5220437027881,400.0,440.0,480.0,512.0045381084868,560.0,600.0,636.0,675.0,730.76,769.23,830.6301241323096,906.4548535872956,979.9368337125874,1057.69,1160.0,1346.0,1538.0,1923.0,2884.61
2010,13,108.75,180.0,240.0,290.0,323.05130723512656,360.0,400.0,436.76027957808566,480.0,510.0,560.0,600.0,640.1552060450646,685.2499007828353,750.0,800.0,865.38,961.0,1000.0,1115.0,1211.0,1388.1381383537382,1609.5964984631082,1923.07,2884.61
