statefips,statename,stateabb,year_only,min_mw,min_fed_mw,mw_above_fed,impl_year,medicaid_expanded,rtw
11,District of Columbia,DC,2012,8.25,7.25,1,2014.0,0,0
11,District of Columbia,DC,2013,8.25,7.25,1,2014.0,0,0
11,District of Columbia,DC,2014,8.25,7.25,1,2014.0,1,0
11,District of Columbia,DC,2015,9.5,7.25,1,2014.0,1,0
11,District of Columbia,DC,2016,10.5,7.25,1,2014.0,1,0
11,District of Columbia,DC,2017,11.5,7.25,1,2014.0,1,0
11,District of Columbia,DC,2018,12.5,7.25,1,2014.0,1,0
11,District of Columbia,DC,2019,13.25,7.25,1,2014.0,1,0
10,Delaware,DE,2010,7.25,7.25,0,2014.0,0,0
10,Delaware,DE,2011,7.25,7.25,0,2014.0,0,0
10,Delaware,DE,2012,7.25,7.25,0,2014.0,0,0
10,Delaware,DE,2013,7.25,7.25,0,2014.0,0,0
10,Delaware,DE,2014,7.25,7.25,0,2014.0,1,0
10,Delaware,DE,2015,7.75,7.25,1,2014.0,1,0
10,Delaware,DE,2016,8.25,7.25,1,2014.0,1,0
10,Delaware,DE,2017,8.25,7.25,1,2014.0,1,0
10,Delaware,DE,2018,8.25,7.25,1,2014.0,1,0
10,Delaware,DE,2019,8.75,7.25,1,2014.0,1,0
12,Florida,FL,2010,7.25,7.25,0,,0,1
12,Florida,FL,2011,7.25,7.25,0,,0,1
12,Florida,FL,2012,7.67,7.25,1,,0,1
12,Florida,FL,2013,7.79,7.25,1,,0,1
12,Florida,FL,2014,7.93,7.25,1,,0,1
12,Florida,FL,2015,8.05,7.25,1,,0,1
12,Florida,FL,2016,8.05,7.25,1,,0,1
12,Florida,FL,2017,8.1,7.25,1,,0,1
12,Florida,FL,2018,8.25,7.25,1,,0,1
12,Florida,FL,2019,8.46,7.25,1,,0,1
13,Georgia,GA,2010,7.25,7.25,0,,0,1
13,Georgia,GA,2011,7.25,7.25,0,,0,1
13,Georgia,GA,2012,7.25,7.25,0,,0,1
13,Georgia,GA,2013,7.25,7.25,0,,0,1
13,Georgia,GA,2014,7.25,7.25,0,,0,1
13,Georgia,GA,2015,7.25,7.25,0,,0,1
13,Georgia,GA,2016,7.25,7.25,0,,0,1
13,Georgia,GA,2017,7.25,7.25,0,,0,1
13,Georgia,GA,2018,7.25,7.25,0,,0,1
13,Georgia,GA,2019,7.25,7.25,0,,0,1
15,Hawaii,HI,2010,7.25,7.25,0,2014.0,0,0
15,Hawaii,HI,2011,7.25,7.25,0,2014.0,0,0
15,Hawaii,HI,2012,7.25,7.25,0,2014.0,0,0
15,Hawaii,HI,2013,7.25,7.25,0,2014.0,0,0
15,Hawaii,HI,2014,7.25,7.25,0,2014.0,1,0
15,Hawaii,HI,2015,7.75,7.25,1,2014.0,1,0
15,Hawaii,HI,2016,8.5,7.25,1,2014.0,1,0
15,Hawaii,HI,2017,9.25,7.25,1,2014.0,1,0
15,Hawaii,HI,2018,10.1,7.25,1,2014.0,1,0
15,Hawaii,HI,2019,10.1,7.25,1,2014.0,1,0
19,Iowa,IA,2010,7.25,7.25,0,2015.0,0,1
19,Iowa,IA,2011,7.25,7.25,0,2015.0,0,1
19,Iowa,IA,2012,7.25,7.25,0,2015.0,0,1
19,Iowa,IA,2013,7.25,7.25,0,2015.0,0,1
19,Iowa,IA,2014,7.25,7.25,0,2015.0,0,1
19,Iowa,IA,2015,7.25,7.25,0,2015.0,1,1
19,Iowa,IA,2016,7.25,7.25,0,2015.0,1,1
19,Iowa,IA,2017,7.25,7.25,0,2015.0,1,1
19,Iowa,IA,2018,7.25,7.25,0,2015.0,1,1
19,Iowa,IA,2019,7.25,7.25,0,2015.0,1,1
16,Idaho,ID,2010,7.25,7.25,0,2014.0,0,1
16,Idaho,ID,2011,7.25,7.25,0,2014.0,0,1
16,Idaho,ID,2012,7.25,7.25,0,2014.0,0,1
16,Idaho,ID,2013,7.25,7.25,0,2014.0,0,1
16,Idaho,ID,2014,7.25,7.25,0,2014.0,1,1
16,Idaho,ID,2015,7.25,7.25,0,2014.0,1,1
16,Idaho,ID,2016,7.25,7.25,0,2014.0,1,1
16,Idaho,ID,2017,7.25,7.25,0,2014.0,1,1
16,Idaho,ID,2018,7.25,7.25,0,2014.0,1,1
16,Idaho,ID,2019,7.25,7.25,0,2014.0,1,1
17,Illinois,IL,2010,8.0,7.25,1,2020.0,0,0
17,Illinois,IL,2011,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2012,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2013,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2014,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2015,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2016,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2017,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2018,8.25,7.25,1,2020.0,0,0
17,Illinois,IL,2019,8.25,7.25,1,2020.0,0,0
18,Indiana,IN,2010,7.25,7.25,0,2014.0,0,0
18,Indiana,IN,2011,7.25,7.25,0,2014.0,0,0
18,Indiana,IN,2012,7.25,7.25,0,2014.0,0,1
18,Indiana,IN,2013,7.25,7.25,0,2014.0,0,1
18,Indiana,IN,2014,7.25,7.25,0,2014.0,1,1
18,Indiana,IN,2015,7.25,7.25,0,2014.0,1,1
18,Indiana,IN,2016,7.25,7.25,0,2014.0,1,1
18,Indiana,IN,2017,7.25,7.25,0,2014.0,1,1
18,Indiana,IN,2018,7.25,7.25,0,2014.0,1,1
18,Indiana,IN,2019,7.25,7.25,0,2014.0,1,1
20,Kansas,KS,2010,7.25,7.25,0,,0,1
20,Kansas,KS,2011,7.25,7.25,0,,0,1
20,Kansas,KS,2012,7.25,7.25,0,,0,1
20,Kansas,KS,2013,7.25,7.25,0,,0,1
20,Kansas,KS,2014,7.25,7.25,0,,0,1
20,Kansas,KS,2015,7.25,7.25,0,,0,1
20,Kansas,KS,2016,7.25,7.25,0,,0,1
20,Kansas,KS,2017,7.25,7.25,0,,0,1
20,Kansas,KS,2018,7.25,7.25,0,,0,1
20,Kansas,KS,2019,7.25,7.25,0,,0,1
21,Kentucky,KY,2010,7.25,7.25,0,2014.0,0,0
21,Kentucky,KY,2011,7.25,7.25,0,2014.0,0,0
21,Kentucky,KY,2012,7.25,7.25,0,2014.0,0,0
21,Kentucky,KY,2013,7.25,7.25,0,2014.0,0,0
21,Kentucky,KY,2014,7.25,7.25,0,2014.0,1,0
21,Kentucky,KY,2015,7.25,7.25,0,2014.0,1,0
21,Kentucky,KY,2016,7.25,7.25,0,2014.0,1,0
21,Kentucky,KY,2017,7.25,7.25,0,2014.0,1,1
21,Kentucky,KY,2018,7.25,7.25,0,2014.0,1,1
21,Kentucky,KY,2019,7.25,7.25,0,2014.0,1,1
22,Louisiana,LA,2010,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2011,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2012,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2013,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2014,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2015,7.25,7.25,0,2016.0,0,1
22,Louisiana,LA,2016,7.25,7.25,0,2016.0,1,1
22,Louisiana,LA,2017,7.25,7.25,0,2016.0,1,1
22,Louisiana,LA,2018,7.25,7.25,0,2016.0,1,1
22,Louisiana,LA,2019,7.25,7.25,0,2016.0,1,1
25,Massachusetts,MA,2010,8.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2011,8.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2012,8.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2013,8.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2014,8.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2015,9.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2016,10.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2017,11.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2018,11.0,7.25,1,2019.0,0,0
25,Massachusetts,MA,2019,12.0,7.25,1,2019.0,1,0
24,Maryland,MD,2010,7.25,7.25,0,2014.0,0,0
24,Maryland,MD,2011,7.25,7.25,0,2014.0,0,0
24,Maryland,MD,2012,7.25,7.25,0,2014.0,0,0
24,Maryland,MD,2013,7.25,7.25,0,2014.0,0,0
24,Maryland,MD,2014,7.25,7.25,0,2014.0,1,0
24,Maryland,MD,2015,8.0,7.25,1,2014.0,1,0
24,Maryland,MD,2016,8.25,7.25,1,2014.0,1,0
24,Maryland,MD,2017,8.75,7.25,1,2014.0,1,0
24,Maryland,MD,2018,9.25,7.25,1,2014.0,1,0
24,Maryland,MD,2019,10.1,7.25,1,2014.0,1,0
23,Maine,ME,2010,7.5,7.25,1,2014.0,0,0
23,Maine,ME,2011,7.5,7.25,1,2014.0,0,0
23,Maine,ME,2012,7.5,7.25,1,2014.0,0,0
23,Maine,ME,2013,7.5,7.25,1,2014.0,0,0
23,Maine,ME,2014,7.5,7.25,1,2014.0,1,0
23,Maine,ME,2015,7.5,7.25,1,2014.0,1,0
23,Maine,ME,2016,7.5,7.25,1,2014.0,1,0
23,Maine,ME,2017,9.0,7.25,1,2014.0,1,0
23,Maine,ME,2018,10.0,7.25,1,2014.0,1,0
23,Maine,ME,2019,11.0,7.25,1,2014.0,1,0
26,Michigan,MI,2010,7.4,7.25,1,2014.0,0,0
26,Michigan,MI,2011,7.4,7.25,1,2014.0,0,0
26,Michigan,MI,2012,7.4,7.25,1,2014.0,0,1
26,Michigan,MI,2013,7.4,7.25,1,2014.0,0,1
26,Michigan,MI,2014,7.4,7.25,1,2014.0,1,1
26,Michigan,MI,2015,8.15,7.25,1,2014.0,1,1
26,Michigan,MI,2016,8.5,7.25,1,2014.0,1,1
26,Michigan,MI,2017,8.9,7.25,1,2014.0,1,1
26,Michigan,MI,2018,9.25,7.25,1,2014.0,1,1
26,Michigan,MI,2019,9.25,7.25,1,2014.0,1,1
27,Minnesota,MN,2010,7.25,7.25,0,2014.0,0,0
27,Minnesota,MN,2011,7.25,7.25,0,2014.0,0,0
27,Minnesota,MN,2012,7.25,7.25,0,2014.0,0,0
27,Minnesota,MN,2013,7.25,7.25,0,2014.0,0,0
27,Minnesota,MN,2014,7.25,7.25,0,2014.0,1,0
27,Minnesota,MN,2015,8.0,7.25,1,2014.0,1,0
27,Minnesota,MN,2016,9.0,7.25,1,2014.0,1,0
27,Minnesota,MN,2017,9.5,7.25,1,2014.0,1,0
27,Minnesota,MN,2018,9.65,7.25,1,2014.0,1,0
27,Minnesota,MN,2019,9.86,7.25,1,2014.0,1,0
29,Missouri,MO,2010,7.25,7.25,0,,0,0
29,Missouri,MO,2011,7.25,7.25,0,,0,0
29,Missouri,MO,2012,7.25,7.25,0,,0,0
29,Missouri,MO,2013,7.35,7.25,1,,0,0
29,Missouri,MO,2014,7.5,7.25,1,,0,0
29,Missouri,MO,2015,7.65,7.25,1,,0,0
29,Missouri,MO,2016,7.65,7.25,1,,0,0
29,Missouri,MO,2017,7.7,7.25,1,,0,0
29,Missouri,MO,2018,7.85,7.25,1,,0,0
29,Missouri,MO,2019,8.6,7.25,1,,0,0
28,Mississippi,MS,2010,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2011,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2012,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2013,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2014,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2015,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2016,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2017,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2018,7.25,7.25,0,2021.0,0,1
28,Mississippi,MS,2019,7.25,7.25,0,2021.0,0,1
30,Montana,MT,2010,7.25,7.25,0,2016.0,0,0
30,Montana,MT,2011,7.35,7.25,1,2016.0,0,0
30,Montana,MT,2012,7.65,7.25,1,2016.0,0,0
30,Montana,MT,2013,7.8,7.25,1,2016.0,0,0
30,Montana,MT,2014,7.9,7.25,1,2016.0,0,0
30,Montana,MT,2015,8.05,7.25,1,2016.0,0,0
30,Montana,MT,2016,8.05,7.25,1,2016.0,1,0
30,Montana,MT,2017,8.15,7.25,1,2016.0,1,0
30,Montana,MT,2018,8.3,7.25,1,2016.0,1,0
30,Montana,MT,2019,8.5,7.25,1,2016.0,1,0
37,North Carolina,NC,2010,7.25,7.25,0,2014.0,0,1
37,North Carolina,NC,2011,7.25,7.25,0,2014.0,0,1
37,North Carolina,NC,2012,7.25,7.25,0,2014.0,0,1
37,North Carolina,NC,2013,7.25,7.25,0,2014.0,0,1
37,North Carolina,NC,2014,7.25,7.25,0,2014.0,1,1
37,North Carolina,NC,2015,7.25,7.25,0,2014.0,1,1
37,North Carolina,NC,2016,7.25,7.25,0,2014.0,1,1
37,North Carolina,NC,2017,7.25,7.25,0,2014.0,1,1
37,North Carolina,NC,2018,7.25,7.25,0,2014.0,1,1
37,North Carolina,NC,2019,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2010,7.25,7.25,0,2014.0,0,1
38,North Dakota,ND,2011,7.25,7.25,0,2014.0,0,1
38,North Dakota,ND,2012,7.25,7.25,0,2014.0,0,1
38,North Dakota,ND,2013,7.25,7.25,0,2014.0,0,1
38,North Dakota,ND,2014,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2015,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2016,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2017,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2018,7.25,7.25,0,2014.0,1,1
38,North Dakota,ND,2019,7.25,7.25,0,2014.0,1,1
31,Nebraska,NE,2010,7.25,7.25,0,2023.0,0,1
31,Nebraska,NE,2011,7.25,7.25,0,2023.0,0,1
31,Nebraska,NE,2012,7.25,7.25,0,2023.0,0,1
31,Nebraska,NE,2013,7.25,7.25,0,2023.0,0,1
31,Nebraska,NE,2014,7.25,7.25,0,2023.0,0,1
31,Nebraska,NE,2015,8.0,7.25,1,2023.0,0,1
31,Nebraska,NE,2016,9.0,7.25,1,2023.0,0,1
31,Nebraska,NE,2017,9.0,7.25,1,2023.0,0,1
31,Nebraska,NE,2018,9.0,7.25,1,2023.0,0,1
31,Nebraska,NE,2019,9.0,7.25,1,2023.0,0,1
33,New Hampshire,NH,2010,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2011,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2012,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2013,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2014,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2015,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2016,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2017,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2018,7.25,7.25,0,2020.0,0,0
33,New Hampshire,NH,2019,7.25,7.25,0,2020.0,0,0
34,New Jersey,NJ,2010,7.25,7.25,0,2014.0,0,0
34,New Jersey,NJ,2011,7.25,7.25,0,2014.0,0,0
34,New Jersey,NJ,2012,7.25,7.25,0,2014.0,0,0
34,New Jersey,NJ,2013,7.25,7.25,0,2014.0,0,0
34,New Jersey,NJ,2014,8.25,7.25,1,2014.0,1,0
34,New Jersey,NJ,2015,8.38,7.25,1,2014.0,1,0
34,New Jersey,NJ,2016,8.38,7.25,1,2014.0,1,0
34,New Jersey,NJ,2017,8.44,7.25,1,2014.0,1,0
34,New Jersey,NJ,2018,8.6,7.25,1,2014.0,1,0
34,New Jersey,NJ,2019,8.85,7.25,1,2014.0,1,0
35,New Mexico,NM,2010,7.5,7.25,1,2014.0,0,0
35,New Mexico,NM,2011,7.5,7.25,1,2014.0,0,0
35,New Mexico,NM,2012,7.5,7.25,1,2014.0,0,0
35,New Mexico,NM,2013,7.5,7.25,1,2014.0,0,0
35,New Mexico,NM,2014,7.5,7.25,1,2014.0,1,0
35,New Mexico,NM,2015,7.5,7.25,1,2014.0,1,0
35,New Mexico,NM,2016,7.5,7.25,1,2014.0,1,0
35,New Mexico,NM,2017,7.5,7.25,1,2014.0,1,0
35,New Mexico,NM,2018,7.5,7.25,1,2014.0,1,0
35,New Mexico,NM,2019,7.5,7.25,1,2014.0,1,0
32,Nevada,NV,2010,7.55,7.25,1,2014.0,0,1
32,Nevada,NV,2011,8.25,7.25,1,2014.0,0,1
32,Nevada,NV,2012,8.25,7.25,1,2014.0,0,1
32,Nevada,NV,2013,8.25,7.25,1,2014.0,0,1
32,Nevada,NV,2014,8.25,7.25,1,2014.0,1,1
32,Nevada,NV,2015,8.25,7.25,1,2014.0,1,1
32,Nevada,NV,2016,8.25,7.25,1,2014.0,1,1
32,Nevada,NV,2017,8.25,7.25,1,2014.0,1,1
32,Nevada,NV,2018,8.25,7.25,1,2014.0,1,1
32,Nevada,NV,2019,8.25,7.25,1,2014.0,1,1
36,New York,NY,2010,7.25,7.25,0,2014.0,0,0
36,New York,NY,2011,7.25,7.25,0,2014.0,0,0
36,New York,NY,2012,7.25,7.25,0,2014.0,0,0
36,New York,NY,2013,7.25,7.25,0,2014.0,0,0
36,New York,NY,2014,8.0,7.25,1,2014.0,1,0
36,New York,NY,2015,8.75,7.25,1,2014.0,1,0
36,New York,NY,2016,9.0,7.25,1,2014.0,1,0
36,New York,NY,2017,9.7,7.25,1,2014.0,1,0
36,New York,NY,2018,10.4,7.25,1,2014.0,1,0
36,New York,NY,2019,11.1,7.25,1,2014.0,1,0
39,Ohio,OH,2010,7.3,7.25,1,2014.0,0,0
39,Ohio,OH,2011,7.4,7.25,1,2014.0,0,0
39,Ohio,OH,2012,7.7,7.25,1,2014.0,0,0
39,Ohio,OH,2013,7.85,7.25,1,2014.0,0,0
39,Ohio,OH,2014,7.95,7.25,1,2014.0,1,0
39,Ohio,OH,2015,8.1,7.25,1,2014.0,1,0
39,Ohio,OH,2016,8.1,7.25,1,2014.0,1,0
39,Ohio,OH,2017,8.15,7.25,1,2014.0,1,0
39,Ohio,OH,2018,8.3,7.25,1,2014.0,1,0
39,Ohio,OH,2019,8.55,7.25,1,2014.0,1,0
40,Oklahoma,OK,2010,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2011,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2012,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2013,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2014,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2015,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2016,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2017,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2018,7.25,7.25,0,2021.0,0,1
40,Oklahoma,OK,2019,7.25,7.25,0,2021.0,0,1
41,Oregon,OR,2010,8.4,7.25,1,2014.0,0,0
41,Oregon,OR,2011,8.5,7.25,1,2014.0,0,0
41,Oregon,OR,2012,8.8,7.25,1,2014.0,0,0
41,Oregon,OR,2013,8.95,7.25,1,2014.0,0,0
41,Oregon,OR,2014,9.1,7.25,1,2014.0,1,0
41,Oregon,OR,2015,9.25,7.25,1,2014.0,1,0
41,Oregon,OR,2016,9.25,7.25,1,2014.0,1,0
41,Oregon,OR,2017,9.75,7.25,1,2014.0,1,0
41,Oregon,OR,2018,10.25,7.25,1,2014.0,1,0
41,Oregon,OR,2019,10.75,7.25,1,2014.0,1,0
42,Pennsylvania,PA,2010,7.25,7.25,0,2015.0,0,0
42,Pennsylvania,PA,2011,7.25,7.25,0,2015.0,0,0
42,Pennsylvania,PA,2012,7.25,7.25,0,2015.0,0,0
42,Pennsylvania,PA,2013,7.25,7.25,0,2015.0,0,0
42,Pennsylvania,PA,2014,7.25,7.25,0,2015.0,0,0
42,Pennsylvania,PA,2015,7.25,7.25,0,2015.0,1,0
42,Pennsylvania,PA,2016,7.25,7.25,0,2015.0,1,0
42,Pennsylvania,PA,2017,7.25,7.25,0,2015.0,1,0
42,Pennsylvania,PA,2018,7.25,7.25,0,2015.0,1,0
42,Pennsylvania,PA,2019,7.25,7.25,0,2015.0,1,0
44,Rhode Island,RI,2010,7.4,7.25,1,2014.0,0,0
44,Rhode Island,RI,2011,7.4,7.25,1,2014.0,0,0
44,Rhode Island,RI,2012,7.4,7.25,1,2014.0,0,0
44,Rhode Island,RI,2013,7.75,7.25,1,2014.0,0,0
44,Rhode Island,RI,2014,8.0,7.25,1,2014.0,1,0
44,Rhode Island,RI,2015,9.0,7.25,1,2014.0,1,0
44,Rhode Island,RI,2016,9.6,7.25,1,2014.0,1,0
44,Rhode Island,RI,2017,9.6,7.25,1,2014.0,1,0
44,Rhode Island,RI,2018,10.1,7.25,1,2014.0,1,0
44,Rhode Island,RI,2019,10.5,7.25,1,2014.0,1,0
45,South Carolina,SC,2010,7.25,7.25,0,,0,1
45,South Carolina,SC,2011,7.25,7.25,0,,0,1
45,South Carolina,SC,2012,7.25,7.25,0,,0,1
45,South Carolina,SC,2013,7.25,7.25,0,,0,1
45,South Carolina,SC,2014,7.25,7.25,0,,0,1
45,South Carolina,SC,2015,7.25,7.25,0,,0,1
45,South Carolina,SC,2016,7.25,7.25,0,,0,1
45,South Carolina,SC,2017,7.25,7.25,0,,0,1
45,South Carolina,SC,2018,7.25,7.25,0,,0,1
45,South Carolina,SC,2019,7.25,7.25,0,,0,1
46,South Dakota,SD,2010,7.25,7.25,0,2023.0,0,1
46,South Dakota,SD,2011,7.25,7.25,0,2023.0,0,1
46,South Dakota,SD,2012,7.25,7.25,0,2023.0,0,1
46,South Dakota,SD,2013,7.25,7.25,0,2023.0,0,1
46,South Dakota,SD,2014,7.25,7.25,0,2023.0,0,1
46,South Dakota,SD,2015,8.5,7.25,1,2023.0,0,1
46,South Dakota,SD,2016,8.55,7.25,1,2023.0,0,1
46,South Dakota,SD,2017,8.65,7.25,1,2023.0,0,1
46,South Dakota,SD,2018,8.85,7.25,1,2023.0,0,1
46,South Dakota,SD,2019,9.1,7.25,1,2023.0,0,1
47,Tennessee,TN,2010,7.25,7.25,0,,0,1
47,Tennessee,TN,2011,7.25,7.25,0,,0,1
47,Tennessee,TN,2012,7.25,7.25,0,,0,1
47,Tennessee,TN,2013,7.25,7.25,0,,0,1
47,Tennessee,TN,2014,7.25,7.25,0,,0,1
47,Tennessee,TN,2015,7.25,7.25,0,,0,1
47,Tennessee,TN,2016,7.25,7.25,0,,0,1
47,Tennessee,TN,2017,7.25,7.25,0,,0,1
47,Tennessee,TN,2018,7.25,7.25,0,,0,1
47,Tennessee,TN,2019,7.25,7.25,0,,0,1
48,Texas,TX,2010,7.25,7.25,0,,0,1
48,Texas,TX,2011,7.25,7.25,0,,0,1
48,Texas,TX,2012,7.25,7.25,0,,0,1
48,Texas,TX,2013,7.25,7.25,0,,0,1
48,Texas,TX,2014,7.25,7.25,0,,0,1
48,Texas,TX,2015,7.25,7.25,0,,0,1
48,Texas,TX,2016,7.25,7.25,0,,0,1
