statefips,statename,stateabb,year_only,min_mw,min_fed_mw,mw_above_fed,impl_year,medicaid_expanded,rtw
2,Alaska,AK,2010,7.75,7.25,1,,0,0
2,Alaska,AK,2011,7.75,7.25,1,,0,0
2,Alaska,AK,2012,7.75,7.25,1,,0,0
2,Alaska,AK,2013,7.75,7.25,1,,0,0
2,Alaska,AK,2014,7.75,7.25,1,,0,0
2,Alaska,AK,2015,8.75,7.25,1,,0,0
2,Alaska,AK,2016,9.75,7.25,1,,0,0
2,Alaska,AK,2017,9.8,7.25,1,,0,0
2,Alaska,AK,2018,9.84,7.25,1,,0,0
2,Alaska,AK,2019,9.89,7.25,1,,0,0
1,Alabama,AL,2010,7.25,7.25,0,2015.0,0,1
1,Alabama,AL,2011,7.25,7.25,0,2015.0,0,1
1,Alabama,AL,2012,7.25,7.25,0,2015.0,0,1
1,Alabama,AL,2013,7.25,7.25,0,2015.0,0,1
1,Alabama,AL,2014,7.25,7.25,0,2015.0,0,1
1,Alabama,AL,2015,7.25,7.25,0,2015.0,1,1
1,Alabama,AL,2016,7.25,7.25,0,2015.0,1,1
1,Alabama,AL,2017,7.25,7.25,0,2015.0,1,1
1,Alabama,AL,2018,7.25,7.25,0,2015.0,1,1
1,Alabama,AL,2019,7.25,7.25,0,2015.0,1,1
5,Arkansas,AR,2010,7.25,7.25,0,2014.0,0,1
5,Arkansas,AR,2011,7.25,7.25,0,2014.0,0,1
5,Arkansas,AR,2012,7.25,7.25,0,2014.0,0,1
5,Arkansas,AR,2013,7.25,7.25,0,2014.0,0,1
5,Arkansas,AR,2014,7.25,7.25,0,2014.0,1,1
5,Arkansas,AR,2015,7.5,7.25,1,2014.0,1,1
5,Arkansas,AR,2016,8.0,7.25,1,2014.0,1,1
5,Arkansas,AR,2017,8.5,7.25,1,2014.0,1,1
5,Arkansas,AR,2018,8.5,7.25,1,2014.0,1,1
5,Arkansas,AR,2019,9.25,7.25,1,2014.0,1,1
4,Arizona,AZ,2010,7.25,7.25,0,2014.0,0,1
4,Arizona,AZ,2011,7.35,7.25,1,2014.0,0,1
4,Arizona,AZ,2012,7.65,7.25,1,2014.0,0,1
4,Arizona,AZ,2013,7.8,7.25,1,2014.0,0,1
4,Arizona,AZ,2014,7.9,7.25,1,2014.0,1,1
4,Arizona,AZ,2015,8.05,7.25,1,2014.0,1,1
4,Arizona,AZ,2016,8.05,7.25,1,2014.0,1,1
4,Arizona,AZ,2017,10.0,7.25,1,2014.0,1,1
4,Arizona,AZ,2018,10.5,7.25,1,2014.0,1,1
4,Arizona,AZ,2019,11.0,7.25,1,2014.0,1,1
6,California,CA,2010,8.0,7.25,1,2014.0,0,0
6,California,CA,2011,8.0,7.25,1,2014.0,0,0
6,California,CA,2012,8.0,7.25,1,2014.0,0,0
6,California,CA,2013,8.0,7.25,1,2014.0,0,0
6,California,CA,2014,8.0,7.25,1,2014.0,1,0
6,California,CA,2015,9.0,7.25,1,2014.0,1,0
6,California,CA,2016,10.0,7.25,1,2014.0,1,0
6,California,CA,2017,10.5,7.25,1,2014.0,1,0
6,California,CA,2018,11.0,7.25,1,2014.0,1,0
6,California,CA,2019,12.0,7.25,1,2014.0,1,0
8,Colorado,CO,2010,7.25,7.25,0,2014.0,0,0
8,Colorado,CO,2011,7.36,7.25,1,2014.0,0,0
8,Colorado,CO,2012,7.64,7.25,1,2014.0,0,0
8,Colorado,CO,2013,7.78,7.25,1,2014.0,0,0
8,Colorado,CO,2014,8.0,7.25,1,2014.0,1,0
8,Colorado,CO,2015,8.23,7.25,1,2014.0,1,0
8,Colorado,CO,2016,8.31,7.25,1,2014.0,1,0
8,Colorado,CO,2017,9.3,7.25,1,2014.0,1,0
8,Colorado,CO,2018,10.2,7.25,1,2014.0,1,0
8,Colorado,CO,2019,11.1,7.25,1,2014.0,1,0
9,Connecticut,CT,2010,8.25,7.25,1,2014.0,0,0
9,Connecticut,CT,2011,8.25,7.25,1,2014.0,0,0
9,Connecticut,CT,2012,8.25,7.25,1,2014.0,0,0
9,Connecticut,CT,2013,8.25,7.25,1,2014.0,0,0
9,Connecticut,CT,2014,8.7,7.25,1,2014.0,1,0
9,Connecticut,CT,2015,9.15,7.25,1,2014.0,1,0
9,Connecticut,CT,2016,9.6,7.25,1,2014.0,1,0
9,Connecticut,CT,2017,10.1,7.25,1,2014.0,1,0
9,Connecticut,CT,2018,10.1,7.25,1,2014.0,1,0
9,Connecticut,CT,2019,10.1,7.25,1,2014.0,1,0
11,District of Columbia,DC,2010,8.25,7.25,1,2014.0,0,0
11,District of Columbia,DC,2011,8.25,7.25,1,2014.0,0,0
