state_fips,n_records,n_wage_earners_16_64,sum_PWGTP,n_ftyr,median_wage_all_16_64,median_wage_ftyr,se_median,cv_median,cv_p90,statename,stateabb,min_mw,min_fed_mw,mw_above_fed,medicaid_expanded,rtw,impl_year,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
13,45088,45088,4933047.0,32034,35355.075000000004,45456.525,0.0,0.0,0.0,Georgia,GA,7.25,7.25,0,0,1,,909.1305,3131.4495,6060.870000000001,10101.45,12626.8125,15758.262,19394.784,21213.045,24243.480000000003,26768.8425,30304.35,32324.640000000003,35355.075000000004,38385.51,40405.8,45456.525,50507.25,55557.975000000006,60608.7,66669.57,75760.875,85862.32500000001,101014.5,126268.125,202029.0
15,6412,6412,668578.0,4629,40405.8,50507.25,0.0,0.0,0.0,Hawaii,HI,10.1,7.25,1,1,0,2014.0,1212.174,4646.667,8081.160000000001,12121.740000000002,15960.291,20202.9,23233.335000000003,25253.625,29824.030394097423,30515.24450788237,34344.93,37375.365000000005,40405.8,45254.49600000001,48486.96000000001,50507.25,55557.975000000006,60608.7,65659.425,70710.15000000001,80811.6,87882.615,101014.5,120207.255,157834.5377938776
16,7432,7432,824108.0,4729,31516.524,43436.235,874.0832213409203,0.0277341251637052,0.0254423767510857,Idaho,ID,7.25,7.25,0,1,1,2014.0,679.0131948074537,2020.29,4040.58,6565.9425,9697.392,12121.740000000002,15152.175,18182.61,20202.9,24243.480000000003,26263.77,30304.35,31516.524,35355.075000000004,37375.365000000005,40405.8,45456.525,49497.105,52527.54,60608.7,65659.425,75760.875,88281.492769231,107075.37,156572.475
17,58543,58543,6167701.0,40547,40405.8,50507.25,0.0,0.0,0.0,Illinois,IL,8.25,7.25,1,0,0,2020.0,1010.145,3535.5075,6060.870000000001,10101.45,13030.8705,16566.378,20202.9,23233.335000000003,26061.741,30304.35,32324.640000000003,35355.075000000004,40405.8,42426.09,47981.8875,50507.25,55557.975000000006,60608.7,68689.86,75760.875,83842.035,95963.775,111115.95,138389.86500000002,227282.62500000003
18,31333,31333,3227563.0,20965,35355.075000000004,45456.525,494.10176445764125,0.0139754127082926,0.0149995152600357,Indiana,IN,7.25,7.25,0,1,1,2014.0,909.1305,2727.3915,5050.725,8081.160000000001,11111.595,15051.160500000002,18182.61,20202.9,24243.480000000003,26263.77,30304.35,31314.495000000003,35355.075000000004,37375.365000000005,40405.8,43436.235,47476.815,50507.25,55557.975000000006,60608.7,68689.86,75760.875,89902.90500000001,107075.37,165663.78
19,15200,15200,1556590.0,10290,36365.22,46466.670000000006,830.9076470640275,0.0228489652218253,0.0,Iowa,IA,7.25,7.25,0,1,1,2015.0,1010.145,3030.4350000000004,5050.725,8060.808912469446,11111.595,14142.03,18182.61,21213.045,25253.625,28284.06,30304.35,33334.785,36365.22,40405.8,42426.09,45456.525,50507.25,52527.54,56568.12,60608.7,68689.86,75760.875,85862.32500000001,103034.79,161623.2
20,13594,13594,1407349.0,9367,35355.075000000004,45456.525,585.6562660390382,0.0165649844057476,0.0083644438527702,Kansas,KS,7.25,7.25,0,0,1,,888.9276000000001,2525.3625,5050.725,8081.160000000001,11111.595,14142.03,17475.5085,20202.9,24243.480000000003,26263.77,30304.35,32324.640000000003,35355.075000000004,39395.655000000006,41415.945,45456.525,49497.105,52527.54,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,90913.05,111115.95,181826.1
21,19393,19393,1992353.0,13190,33334.785,43436.235,659.2898773213926,0.0197778349949277,0.0230084333222439,Kentucky,KY,7.25,7.25,0,1,1,2014.0,899.0290500000001,2828.4060000000004,5050.725,8081.160000000001,10303.479,13434.928500000002,16162.320000000002,20202.9,22223.19,25253.625,28183.0455,30304.35,33334.785,35860.1475,40405.8,42426.09,45456.525,50507.25,53537.685000000005,60608.7,65659.425,72730.44,81821.74500000001,101014.5,154552.185
22,17919,17919,1980522.0,12448,33334.785,43638.264,788.1547630740257,0.0236436132128653,0.0287768231588322,Louisiana,LA,7.25,7.25,0,1,1,2016.0,707.1015000000001,3030.4350000000004,5353.7685,8485.218,11111.595,13737.972000000002,16162.320000000002,19697.827500000003,21314.059500000003,24748.5525,27273.915,30304.35,33334.785,36365.22,40405.8,44446.380000000005,48486.96000000001,50507.25,56568.12,62628.990000000005,70710.15000000001,80811.6,92933.34,119197.11000000002,176245.213677927
23,5793,5793,624917.0,3634,35355.075000000004,45456.525,18.587653967005437,0.0005257421732807,0.0365325362004603,Maine,ME,11.0,7.25,1,1,0,2014.0,868.7247000000001,3030.4350000000004,5050.725,8081.160000000001,11111.595,15152.175,18485.6535,21213.045,24445.509,27273.915,30304.35,32324.640000000003,35355.075000000004,38385.51,40405.8,43739.2785,47036.33235970591,50507.25,55557.975000000006,60608.7,66669.57,75760.875,84852.18000000001,103094.67716785702,172624.650343269
