stage,functional,dr_mean,dr_seed_sd,if_se_mean,plugin_mean,n,n_treated,n_control,selected_shrinkage
primary,mean,958.4700631540481,70.57717240814195,1308.5592312654787,1.0165104639286708,653,328,325,"[0.0, 0.0, 0.0]"
primary,sd,-779.548585289452,110.32653093317404,2660.000141811834,0.6882734062936113,653,328,325,"[0.0, 0.0, 0.0]"
primary,skew,0.06005263204920656,0.0016394171432716753,0.07870022213346343,3.628963398256388e-05,653,328,325,"[0.0, 0.0, 0.0]"
primary,tail,1060.4279880015438,144.1710656649509,2353.742621148652,1.3795303331552355,653,328,325,"[0.0, 0.0, 0.0]"
primary,reference,-3057.4792334954163,121.50893729518626,2573.647260607417,-0.7073033163181822,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,mean,958.4700631540481,70.57717240814195,1308.5592312654787,1.0165104639286708,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,sd,-779.548585289452,110.32653093317404,2660.000141811834,0.6882734062936113,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,skew,0.06005263204920656,0.0016394171432716753,0.07870022213346343,3.628963398256388e-05,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,tail,1060.4279880015438,144.1710656649509,2353.742621148652,1.3795303331552355,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,reference,-3057.4792334954163,121.50893729518626,2573.647260607417,-0.7073033163181822,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,p10,1125.458691159401,12.998477927624982,418.7449687529093,0.894789786567837,653,328,325,"[0.0, 0.0, 0.0]"
primary_extras,p90,72.5394871654547,340.5658964513401,5121.6634308956245,1.9301384211429669,653,328,325,"[0.0, 0.0, 0.0]"
capped,mean,958.4700631540481,70.57717240814195,1308.5592312654787,1.0165104639286708,653,328,325,"[0.0, 0.0, 0.0]"
capped,sd,-779.548585289452,110.32653093317404,2660.000141811834,0.6882734062936113,653,328,325,"[0.0, 0.0, 0.0]"
capped,skew,0.06005263204920656,0.0016394171432716753,0.07870022213346343,3.628963398256388e-05,653,328,325,"[0.0, 0.0, 0.0]"
capped,tail,1060.4279880015438,144.1710656649509,2353.742621148652,1.3795303331552355,653,328,325,"[0.0, 0.0, 0.0]"
capped,reference,-730.5753449924053,134.47220041367993,2856.56021957389,0.6107290430841795,653,328,325,"[0.0, 0.0, 0.0]"
placebo,mean,199.44350160329068,853.9642231035555,1304.285442213497,0.042059034715631105,653,328,325,"[0.0, 500.0, 0.0]"
