stage,functional,dr_mean,dr_seed_sd,if_se_mean,plugin_mean,n,n_treated,n_control,selected_shrinkage
placebo,sd,25.403975031756165,2577.300802861228,2671.057586220949,0.036808258521656444,653,328,325,"[0.0, 500.0, 0.0]"
placebo,skew,-0.012548077335089905,0.025864514088436538,0.07969603625257492,-2.6294265601698157e-06,653,328,325,"[0.0, 500.0, 0.0]"
placebo,tail,363.3718829893292,1676.192516660248,2336.3753668124386,0.06894481023082132,653,328,325,"[0.0, 500.0, 0.0]"
placebo,reference,-292.2979387434639,3242.520577465151,2591.4384905349757,-0.0816540283251397,653,328,325,"[0.0, 500.0, 0.0]"
noise,mean,975.4209638081151,2090.0392867755754,2197.1456278207106,0.5793921473610316,653,328,325,"[0.0, 50.0, 50.0]"
noise,sd,-527.2424091124504,3636.980837533381,3263.236958819467,0.3352001131205,653,328,325,"[0.0, 50.0, 50.0]"
noise,skew,0.055676237727745964,0.04069240607377085,0.0908121458146031,1.6492550298101393e-05,653,328,325,"[0.0, 50.0, 50.0]"
noise,tail,975.7154148622544,4345.453206132737,3996.360082855779,0.8009115282760977,653,328,325,"[0.0, 50.0, 50.0]"
noise,reference,-2654.944531621345,2699.656018421045,3399.8709033733926,-0.21954003854281887,653,328,325,"[0.0, 50.0, 50.0]"
sens15,mean,5465.181558545067,1934.5180410703708,3254.6694247097876,0.011560489369003335,65,30,35,"[500.0, 500.0, 500.0]"
sens15,sd,6909.352589661932,2897.0321855766756,4911.642186726533,0.005995522795777875,65,30,35,"[500.0, 500.0, 500.0]"
sens15,skew,0.27809534039925465,0.13146628177945624,0.333094177168672,9.185885083012452e-08,65,30,35,"[500.0, 500.0, 500.0]"
sens15,tail,8892.962617312356,3706.5075380418903,5646.647809680974,0.015409562215119457,65,30,35,"[500.0, 500.0, 500.0]"
sens15,reference,-3011.940592623336,1689.5838984340808,2756.7876592887733,-0.009333832035134456,65,30,35,"[500.0, 500.0, 500.0]"
lowsat,mean,979.5666639893292,250.79880337761642,2195.243253210426,1.2086174862956074,329,115,214,"[0.0, 0.0, 50.0]"
lowsat,sd,-3276.316589197287,471.4586559210374,4817.034383580735,0.587290402324482,329,115,214,"[0.0, 0.0, 50.0]"
lowsat,skew,0.17624828431381045,0.02998501182321535,0.12830465468195842,8.817489435138836e-05,329,115,214,"[0.0, 0.0, 50.0]"
lowsat,tail,-61.16099439411562,232.75348678834283,3947.953290053289,1.3449449143921968,329,115,214,"[0.0, 0.0, 50.0]"
lowsat,reference,-6619.864466015425,936.7969939654449,4911.731042796071,-0.8455679746376097,329,115,214,"[0.0, 0.0, 50.0]"
hisat,mean,1890.3495053055783,212.3580238316574,1403.1391273843903,0.39122924336745807,324,213,111,"[0.0, 0.0, 50.0]"
hisat,sd,4132.967948246895,172.2614666048135,1472.8656476037274,0.9383905719584428,324,213,111,"[0.0, 0.0, 50.0]"
hisat,skew,0.08280455815662781,0.0028559244681511213,0.13300547589994483,1.922218712459318e-05,324,213,111,"[0.0, 0.0, 50.0]"
hisat,tail,3816.8325745445236,337.20679739242354,2234.4101502779195,0.9473819623481589,324,213,111,"[0.0, 0.0, 50.0]"
hisat,reference,1640.7431502035276,88.03195268500775,945.0710266560304,-0.2690200829964863,324,213,111,"[0.0, 0.0, 50.0]"
total,mean,1232.3651955819012,0.0,1422.3833761138171,1.153052357969514,653,328,325,[0.0]
total,sd,-686.6883737933027,0.0,2777.582479282568,0.6982190139643127,653,328,325,[0.0]
total,skew,0.12124332907068046,0.0,0.08199501613806251,7.305633439850162e-05,653,328,325,[0.0]
total,tail,1317.93861071161,0.0,2517.0740818393574,1.5858733502351148,653,328,325,[0.0]
total,reference,-3633.3472514399004,0.0,2670.470775241694,-0.6923242701542844,653,328,325,[0.0]
logcons,mean,0.04402147787746133,0.0,0.025783586989688585,0.03944423757077315,653,328,325,[500.0]
logcons,sd,0.012473073774518884,0.0,0.02104468916866062,0.001746484590730089,653,328,325,[500.0]
logcons,skew,0.017231609359360568,0.0,0.06681222728473608,0.05129530631136124,653,328,325,[500.0]
logcons,tail,0.05154677223058346,0.0,0.027137350354378992,0.040750564486181876,653,328,325,[500.0]
logcons,reference,0.006574302559863232,0.0,0.020424674744783707,-0.002383799805341532,653,328,325,[500.0]
