u,q_star_control,q_star_capped,q_star_pooled_all
0.02,6009.985441579664,6009.985441579664,5876.525263480232
0.06,9286.467249545154,9286.467249545154,9288.888671875
0.1,11101.252113022325,11101.252113022325,11241.21275311782
0.14,12742.134678574925,12742.134678574925,12974.781868245262
0.18,14164.76444484721,14164.76444484721,14631.733150076898
0.22,15749.973590014024,15749.973590014024,16052.226203984641
0.26,17092.42728221655,17092.42728221655,17530.632949747753
0.3,18675.066546060974,18675.066546060974,19062.492127906364
0.34,20249.120219476008,20249.120219476008,20641.721656306676
0.38,21783.861804626653,21783.861804626653,22162.386736040917
0.42,23170.161949190955,23170.161949190955,23621.9060671591
0.46,24544.976860016654,24544.976860016654,25234.995394952297
0.5,26207.195743168697,26207.195743168697,26972.449081842413
0.54,28435.401620061795,28435.401620061795,28908.719175096598
0.58,30473.519607981412,30473.519607981412,31173.038236727647
0.62,33347.25970467538,33347.25970467538,33609.901878687975
0.66,36298.44181036601,36298.44181036601,36533.9568220886
0.7,39375.95228281286,39375.95228281286,39740.0
0.74,42918.09409911926,42918.09409911926,43253.35900765603
0.78,46554.283936252665,43827.14155840261,47121.40586916165
0.82,51459.47192146724,43827.14155840261,52104.02507996557
0.86,59129.22643915555,43827.14155840261,59740.0
0.9,69932.79324659928,43827.14155840261,71272.91206265734
0.94,89381.76426362162,43827.14155840261,88940.0
0.98,139466.4485216957,43827.14155840261,145304.83548652392
