paper_dgp,dgp,n_train,n_grid,n_particles,method,metric,target_id,mean,mc_sd,n_replications,mc_se
LS0,IC0,125,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,0.03326474173143973,0.023764493739444562,10,0.007514992765745685
LS0,IC0,125,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,0.016521569915734613,0.014028387911030987,10,0.004436165769922945
LS0,IC0,125,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.07456111507758398,0.03878835354776815,10,0.012265954389882011
LS0,IC0,125,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,0.14268963073140659,0.08405674045551063,10,0.02658107525290329
LS0,IC0,125,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,0.07385840049528389,0.04403466625342749,10,0.013924984136618416
LS0,IC0,125,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,0.04111398022143907,0.027388554831240232,10,0.008661021508712771
LS0,IC0,125,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.14749865600612594,0.08101610947249771,10,0.025619543309863532
LS0,IC0,125,25,10,drf,arm_energy_risk,LAW-A-M-K,0.1930650715833011,0.01965223073492506,20,0.004394372383280308
LS0,IC0,125,25,10,drf,barycenter_rmse,MEANQ-A-K,0.5235098424387405,0.019616485707272913,20,0.004386379552111528
LS0,IC0,125,25,10,drf,diagnostic_effective_support,NONE_OPERATIONAL,61.100212522937895,0.1704416103153019,10,0.053898369666320355
LS0,IC0,125,25,10,drf,kernel_law_error,LAW-A-K,0.1520156987006644,0.015367114785193536,20,0.0034361913277734823
LS0,IC0,125,25,10,drf,mean_quantile_rmse,MEANQ-A-K,0.2979520572615133,0.08431355814374861,10,0.026662288136728392
LS0,IC0,125,25,10,drf,mode_coverage,LAW-A-K,0.999,0.0026157418189029845,20,0.0005848976518656018
LS0,IC0,125,25,10,drf,peak_ram,NONE_OPERATIONAL,253.01,2.546653577627799,10,0.8053225716720268
LS0,IC0,125,25,10,drf,process_peak_ram,NONE_OPERATIONAL,743.891015625,188.41764296973707,10,59.58289031447812
LS0,IC0,125,25,10,drf,reference_effect_rmse,REF-ATE-K,0.25704985627309085,0.07117765878027653,10,0.022508352026395614
LS0,IC0,125,25,10,drf,reference_tcate_rmse,REF-TCATE-K,0.25704985627309085,0.07117765878027651,10,0.02250835202639561
LS0,IC0,125,25,10,drf,runtime,NONE_OPERATIONAL,4.9702,0.6251559449893728,10,0.19769166789613457
LS0,IC0,125,25,10,drf,tail_calibration,LAW-A-K,2.934405633540804e-05,1.4404177339689716e-05,20,3.2208719691508284e-06
LS0,IC0,125,25,10,drf,tate_functional_rmse,TATE-K-grid_mean,0.29477963874685426,0.08446990590791119,10,0.026711729640911255
LS0,IC0,125,25,10,drf,tate_functional_rmse,TATE-K-grid_sd,0.02786814632123442,0.011852662559487883,10,0.0037481410025382695
LS0,IC0,125,25,10,drf,tate_functional_rmse,TATE-K-grid_skewness,0.1016838899526183,0.036328546625611434,10,0.011488095142055638
LS0,IC0,125,25,10,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.2953866909039671,0.09402458925583673,10,0.02973318581102403
LS0,IC0,125,25,10,drf,tcate_functional_rmse,TCATE-K-grid_mean,0.2947796387468542,0.08446990590791117,10,0.02671172964091125
LS0,IC0,125,25,10,drf,tcate_functional_rmse,TCATE-K-grid_sd,0.02786814632123442,0.011852662559487883,10,0.0037481410025382695
LS0,IC0,125,25,10,drf,tcate_functional_rmse,TCATE-K-grid_skewness,0.1016838899526183,0.036328546625611434,10,0.011488095142055638
LS0,IC0,125,25,10,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.2953866909039671,0.09402458925583673,10,0.02973318581102403
LS0,IC0,250,25,10,causal_drf,arm_energy_risk,LAW-A-M-K,0.12238312092555108,0.011300548105383994,20,0.0025268793746645066
