statefips,year,A1,A2,A3,rmw,fed_only
4,2008,0.0,0.0,1.0,7.691902330525377,False
4,2009,1.0,1.0,1.0,8.110705559142213,False
4,2010,0.0,0.0,0.0,7.98030972920419,False
4,2011,0.0,0.0,1.0,7.842895290833581,False
4,2012,0.0,0.0,1.0,7.997231956608731,False
4,2013,0.0,0.0,1.0,8.036104877701534,False
4,2014,0.0,0.0,1.0,8.009633043907165,False
4,2015,0.0,0.0,1.0,8.151557389726838,False
4,2016,0.0,0.0,1.0,8.05,False
5,1980,0.0,0.0,0.0,8.601158952164315,True
5,1981,0.0,0.0,0.0,8.488783757021821,True
5,1982,0.0,0.0,0.0,8.005066209135727,False
5,1983,0.0,0.0,0.0,7.678116618694963,False
5,1984,0.0,0.0,0.0,7.373372364907972,False
5,1985,0.0,0.0,0.0,7.128990246007251,False
5,1986,0.0,0.0,0.0,7.003938757694334,False
5,1987,0.0,0.0,0.0,6.773664871613358,False
5,1988,0.0,0.0,0.0,6.5344694871940305,False
5,1989,0.0,0.0,0.0,6.263619651583989,False
5,1990,0.0,0.0,0.0,5.967486704586653,False
5,1991,0.0,1.0,0.0,6.533633195462452,True
5,1992,0.0,1.0,0.0,7.127210476585884,True
5,1993,0.0,0.0,0.0,6.954122154134888,False
5,1994,0.0,0.0,0.0,6.8116153757431155,False
5,1995,0.0,0.0,0.0,6.65113180555359,False
5,1996,0.0,0.0,0.0,6.477205175080615,False
5,1997,0.0,1.0,0.0,7.086088401909752,True
5,1998,0.0,1.0,0.0,7.578340009037032,True
5,1999,0.0,0.0,0.0,7.421414860688944,False
5,2000,0.0,0.0,0.0,7.177693097786782,False
5,2001,0.0,0.0,0.0,6.981532166896606,False
5,2002,0.0,0.0,0.0,6.871888530204329,False
5,2003,0.0,0.0,0.0,6.719528313602171,False
5,2004,0.0,0.0,0.0,6.54357467183409,False
5,2005,0.0,0.0,0.0,6.330474290075012,False
5,2006,0.0,0.0,0.0,6.131505661998495,False
5,2007,1.0,1.0,1.0,7.234726333140955,False
5,2008,0.0,0.0,1.0,6.967302835620812,False
5,2009,1.0,1.0,0.0,7.32760295343193,False
5,2010,0.0,1.0,0.0,7.98030972920419,True
5,2011,0.0,0.0,0.0,7.736189232454893,False
5,2012,0.0,0.0,0.0,7.579076037308928,False
5,2013,0.0,0.0,0.0,7.469456456837966,False
5,2014,0.0,0.0,0.0,7.35061260358569,False
5,2015,0.0,0.0,1.0,7.594618686080905,False
5,2016,1.0,1.0,1.0,8.0,False
6,1980,0.0,0.0,0.0,8.601158952164315,True
6,1981,0.0,0.0,0.0,8.488783757021821,True
6,1982,0.0,0.0,0.0,8.005066209135727,False
6,1983,0.0,0.0,0.0,7.678116618694963,False
6,1984,0.0,0.0,0.0,7.373372364907972,False
6,1985,0.0,0.0,0.0,7.128990246007251,False
6,1986,0.0,0.0,0.0,7.003938757694334,False
6,1987,0.0,0.0,0.0,6.773664871613358,False
6,1988,0.0,0.0,0.0,6.5344694871940305,False
6,1989,1.0,1.0,1.0,7.946383140069239,False
6,1990,0.0,0.0,1.0,7.570692087908441,False
6,1991,0.0,0.0,1.0,7.307352915977742,False
6,1992,0.0,0.0,0.0,7.127210476585884,False
6,1993,0.0,0.0,0.0,6.954122154134888,False
6,1994,0.0,0.0,0.0,6.8116153757431155,False
6,1995,0.0,0.0,0.0,6.65113180555359,False
6,1996,0.0,0.0,0.0,6.477205175080615,False
6,1997,0.0,1.0,0.0,7.086088401909752,True
6,1998,0.0,1.0,0.0,7.578340009037032,True
6,1999,1.0,1.0,1.0,8.286045718244937,False
6,2000,0.0,0.0,1.0,8.01392918684932,False
6,2001,1.0,1.0,1.0,8.472733212253162,False
6,2002,1.0,1.0,1.0,9.006844190073634,False
6,2003,0.0,0.0,1.0,8.807148760546536,False
6,2004,0.0,0.0,1.0,8.576529909685458,False
6,2005,0.0,0.0,1.0,8.297223584078898,False
6,2006,0.0,0.0,1.0,8.036439459900938,False
